target_batch,target_upgrade,target_stage,target_dc,score_area,dataset_role,absorption_type,closure_level_supported,project_id,project_name,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,domain_name,device_type,endpoint_name,endpoint_class,safety_or_performance,common_misclassification,expected_comparator,benchmark_format,source_basis
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,PROJECT_016,PROJECT_016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,Endpoint classification,Domain: hemostasis_wound_closure | Endpoint: Hemostasis success,extracted_from_report,medium,calibration_only,yes,Misclassification risk: adverse_event,hemostasis_wound_closure,surgical_instrument,Hemostasis success,procedural_outcome,performance,adverse_event,tourniquet/sutures,rate + CI,PROJECT_016
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,PROJECT_016,PROJECT_016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,Endpoint classification,Domain: hemostasis_wound_closure | Endpoint: Device abandonment,extracted_from_report,medium,calibration_only,yes,Misclassification risk: adverse_event,hemostasis_wound_closure,surgical_instrument,Device abandonment,treatment_failure,performance,adverse_event,tourniquet/sutures,rate + CI,PROJECT_016
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,PROJECT_016,PROJECT_016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,Endpoint classification,Domain: hemostasis_wound_closure | Endpoint: Time to hemostasis,extracted_from_report,medium,calibration_only,yes,Misclassification risk: other,hemostasis_wound_closure,surgical_instrument,Time to hemostasis,procedural_outcome,performance,other,tourniquet/sutures,mean ± SD,PROJECT_016
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,cross_project,Domain inference,domain_inference,Endpoint classification,Domain: ablation | Endpoint: Ablation success rate,filename_only,low,calibration_only,yes,Misclassification risk: other,ablation,ablation_device,Ablation success rate,procedural_outcome,performance,other,surgery/other ablation,rate + CI,V3_domain_inference
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,cross_project,Domain inference,domain_inference,Endpoint classification,Domain: ablation | Endpoint: Thermal injury,filename_only,low,calibration_only,yes,Misclassification risk: procedural_outcome,ablation,ablation_device,Thermal injury,adverse_event,safety,procedural_outcome,surgery/other ablation,rate + CI,V3_domain_inference
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,cross_project,Domain inference,domain_inference,Endpoint classification,Domain: ablation | Endpoint: Recurrence rate,filename_only,low,calibration_only,yes,Misclassification risk: adverse_event,ablation,ablation_device,Recurrence rate,treatment_failure,performance,adverse_event,surgery/other ablation,rate + CI,V3_domain_inference
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,PROJECT_011,PROJECT_011,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*/CER/*,Endpoint classification,Domain: implant_orthopaedic | Endpoint: Implant survival,extracted_from_report,medium,calibration_only,yes,Misclassification risk: other,implant_orthopaedic,orthopaedic_implant,Implant survival,procedural_outcome,performance,other,alternative implant,KM / rate + CI,PROJECT_011
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,PROJECT_011,PROJECT_011,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*/CER/*,Endpoint classification,Domain: implant_orthopaedic | Endpoint: Functional score,extracted_from_report,medium,calibration_only,yes,Misclassification risk: other,implant_orthopaedic,orthopaedic_implant,Functional score,procedural_outcome,performance,other,non-operative,mean ± SD,PROJECT_011
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,PROJECT_011,PROJECT_011,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*/CER/*,Endpoint classification,Domain: implant_orthopaedic | Endpoint: Revision surgery,extracted_from_report,medium,calibration_only,yes,Misclassification risk: adverse_event,implant_orthopaedic,orthopaedic_implant,Revision surgery,treatment_failure,safety,adverse_event,alternative implant,rate + CI,PROJECT_011
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,cross_project,Domain inference,domain_inference,Endpoint classification,Domain: implant_orthopaedic | Endpoint: Infection,filename_only,low,calibration_only,yes,Misclassification risk: adverse_event,implant_orthopaedic,orthopaedic_implant,Infection,serious_adverse_event,safety,adverse_event,alternative implant,rate + CI,V3_domain_inference
G,U4,S6,DC-6,endpoint_domain_template,special_evidence,domain_template,HEURISTIC_ONLY,PROJECT_023,PROJECT_023,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_*/CER/*,Endpoint classification,Domain: cardiovascular_support | Endpoint: Weaning success,extracted_from_report,medium,calibration_only,yes,Misclassification risk: other,cardiovascular_support,cardiac_support,Weaning success,procedural_outcome,performance,other,medical management,rate + CI,PROJECT_023
G,U4,S6,DC-6,endpoint_domain_template,special_evidence,domain_template,HEURISTIC_ONLY,PROJECT_023,PROJECT_023,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_*/CER/*,Endpoint classification,Domain: cardiovascular_support | Endpoint: Bleeding requiring transfusion,extracted_from_report,medium,calibration_only,yes,Misclassification risk: adverse_event,cardiovascular_support,cardiac_support,Bleeding requiring transfusion,serious_adverse_event,safety,adverse_event,medical management,rate + CI,PROJECT_023
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,PROJECT_024,PROJECT_024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*/CER/*,Endpoint classification,Domain: cardiovascular_support | Endpoint: Technical success,extracted_from_report,medium,calibration_only,yes,Misclassification risk: other,cardiovascular_support,cardiovascular,Technical success,procedural_outcome,performance,other,alternative device,rate + CI,PROJECT_024
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,PROJECT_002,PROJECT_002,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/CER/*,Endpoint classification,Domain: cardiovascular_support | Endpoint: MACE,extracted_from_report,medium,calibration_only,yes,Misclassification risk: adverse_event,cardiovascular_support,cardiovascular,MACE,serious_adverse_event,safety,adverse_event,medical management,HR + CI,PROJECT_002
G,U4,S6,DC-6,endpoint_domain_template,holdout,domain_template,HEURISTIC_ONLY,PROJECT_037,PROJECT_037,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*/CER/*,Endpoint classification,Domain: cardiovascular_support | Endpoint: Primary patency,extracted_from_report,medium,calibration_only,yes,Misclassification risk: other,cardiovascular_support,cardiovascular,Primary patency,procedural_outcome,performance,other,balloon angioplasty,KM / rate + CI,PROJECT_037
G,U4,S6,DC-6,endpoint_domain_template,holdout,domain_template,HEURISTIC_ONLY,PROJECT_041,PROJECT_041,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_041_*/CER/*,Endpoint classification,Domain: surgical_instrument | Endpoint: Procedure success,extracted_from_report,medium,calibration_only,yes,Misclassification risk: other,surgical_instrument,surgical_instrument,Procedure success,procedural_outcome,performance,other,alternative instrument,rate + CI,PROJECT_041
G,U4,S6,DC-6,endpoint_domain_template,holdout,domain_template,HEURISTIC_ONLY,PROJECT_041,PROJECT_041,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_041_*/CER/*,Endpoint classification,Domain: surgical_instrument | Endpoint: Operative time,extracted_from_report,medium,calibration_only,yes,Misclassification risk: other,surgical_instrument,surgical_instrument,Operative time,procedural_outcome,performance,other,alternative instrument,mean ± SD,PROJECT_041
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,cross_project,Domain inference,domain_inference,Endpoint classification,Domain: surgical_instrument | Endpoint: Tissue damage,filename_only,low,calibration_only,yes,Misclassification risk: procedural_outcome,surgical_instrument,surgical_instrument,Tissue damage,adverse_event,safety,procedural_outcome,alternative instrument,rate + CI,V3_domain_inference
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,PROJECT_032,PROJECT_032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Endpoint classification,Domain: software_diagnostic | Endpoint: Time in range,extracted_from_report,medium,calibration_only,yes,Misclassification risk: other,software_diagnostic,diabetes_CGM,Time in range,procedural_outcome,performance,other,SMBG,mean ± SD / rate,PROJECT_032
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,PROJECT_032,PROJECT_032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Endpoint classification,Domain: software_diagnostic | Endpoint: HbA1c reduction,extracted_from_report,medium,calibration_only,yes,Misclassification risk: other,software_diagnostic,diabetes_CGM,HbA1c reduction,procedural_outcome,performance,other,SMBG,mean ± SD,PROJECT_032
G,U4,S6,DC-6,endpoint_domain_template,stress,domain_template,HEURISTIC_ONLY,PROJECT_033,PROJECT_033,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*/CER/*,Endpoint classification,Domain: software_diagnostic | Endpoint: Hypoglycemia rate,extracted_from_report,medium,calibration_only,yes,Misclassification risk: other,software_diagnostic,diabetes_CGM,Hypoglycemia rate,adverse_event,safety,other,SMBG,HR + CI / rate,PROJECT_033
G,U4,S6,DC-6,endpoint_domain_template,calibration,domain_template,HEURISTIC_ONLY,PROJECT_032,PROJECT_032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Endpoint classification,Domain: software_diagnostic | Endpoint: Skin irritation,extracted_from_report,medium,calibration_only,yes,Misclassification risk: serious_adverse_event,software_diagnostic,diabetes_CGM,Skin irritation,adverse_event,safety,serious_adverse_event,SMBG,rate + CI,PROJECT_032
