target_batch,target_capability,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_table_or_figure,source_quote_or_cell,evidence_level,confidence,locked_status,writer_access_allowed,absorption_type,closure_level_supported,notes,source_text,statistical_type,value,unit,numerator,denominator,ci_lower,ci_upper,p_value,range_lower,range_upper,median,IQR_lower,IQR_upper,mean,SD,HR,RR,OR,event_rate,rate_denominator,timepoint,interpretation
O,statistical_parser_v3,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_348__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,. 2.2. Equivalence Device N/A. 2.3.  S imilar Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality  of technolo,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,. 2.2. Equivalence Device N/A. 2.3.  S imilar Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality  of technolo,p_value,p.,,,,,,.,,,,,,,,,,,,,,auto_extracted
O,statistical_parser_v3,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_498__[20241205] Annex 1 Literature Search Protocol and Report-SOTA.docx,,,X 2.2. Equivalence Device N / A. 2.3. Similar Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality of technolog,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,X 2.2. Equivalence Device N / A. 2.3. Similar Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality of technolog,p_value,p.,,,,,,.,,,,,,,,,,,,,,auto_extracted
O,statistical_parser_v3,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_423__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,. 2.2. Equivalence Device N/A. 2.3.  S imilar Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality of technolog,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,. 2.2. Equivalence Device N/A. 2.3.  S imilar Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality of technolog,p_value,p.,,,,,,.,,,,,,,,,,,,,,auto_extracted
O,statistical_parser_v3,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_933__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,. 2.2. Equivalence Device N/A. 2.3.  S imilar Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality  of technolo,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,. 2.2. Equivalence Device N/A. 2.3.  S imilar Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality  of technolo,p_value,p.,,,,,,.,,,,,,,,,,,,,,auto_extracted
O,statistical_parser_v3,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_1219__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,. 2.2. Equivalence Device N/A. 2.3.  S imilar Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality  of technolo,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,. 2.2. Equivalence Device N/A. 2.3.  S imilar Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality  of technolo,p_value,p.,,,,,,.,,,,,,,,,,,,,,auto_extracted
O,statistical_parser_v3,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_542__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,.2. Equivalence Device N / A. 2.3.  S imilar  Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar  intended purposes or a commonality of technolo,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,.2. Equivalence Device N / A. 2.3.  S imilar  Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar  intended purposes or a commonality of technolo,p_value,p.,,,,,,.,,,,,,,,,,,,,,auto_extracted
O,statistical_parser_v3,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_419__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,. 2.2. Equivalence Device N/A. 2.3.  S imilar Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality of technolog,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,. 2.2. Equivalence Device N/A. 2.3.  S imilar Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality of technolog,p_value,p.,,,,,,.,,,,,,,,,,,,,,auto_extracted
O,statistical_parser_v3,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_690__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,.2. Equivalence Device N / A. 2.3.  S imilar  Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality of technolog,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,.2. Equivalence Device N / A. 2.3.  S imilar  Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar intended purposes or a commonality of technolog,p_value,p.,,,,,,.,,,,,,,,,,,,,,auto_extracted
O,statistical_parser_v3,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_1003__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,.2. Equivalence Device N / A. 2.3.  S imilar  Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar  intended purposes or a commonality of technolo,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,.2. Equivalence Device N / A. 2.3.  S imilar  Device The term ‘similar devices’ may be understood as devices belonging to the same generic device group. The MDR Article 2 (7) defines ‘generic device group’ as a set of devices having the same or similar  intended purposes or a commonality of technolo,p_value,p.,,,,,,.,,,,,,,,,,,,,,auto_extracted
O,statistical_parser_v3,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_379__SOTA-P1-32.pdf,,,"22 mGy/min and 0.320 mGy/min,
respectively). Reader-averaged Radlex scores for in-room and portable systems were statistically significantly greater (P<0.05)
for all attributes on the portable system except for image contrast. In phase B, scattered radiation from the average fluoroscopy
time (26 s) ",extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,"22 mGy/min and 0.320 mGy/min,
respectively). Reader-averaged Radlex scores for in-room and portable systems were statistically significantly greater (P<0.05)
for all attributes on the portable system except for image contrast. In phase B, scattered radiation from the average fluoroscopy
time (26 s) ",p_value,P<0.05,,,,,,0.05,,,,,,,,,,,,,,auto_extracted
