target_batch,target_upgrade,target_stage,target_dc,score_area,dataset_role,absorption_type,closure_level_supported,project_id,project_name,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,pmid,title,followup_duration,followup_unit,AE_term,AE_severity,AE_count,AE_rate,source_sentence
E,U1,S5,DC-4,followup_AE_severity,calibration,fixture,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,Safety/Results,"AE: Fever (5 cases, 6.3%)",extracted_from_report,medium,calibration_only,yes,,PMID_V3E4_0001,Fever - PROJECT_012,3,months,Fever,Grade 1,5,6.3%,5 patients (6.3%) experienced Fever during 3-month follow-up.
E,U1,S5,DC-4,followup_AE_severity,calibration,fixture,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,Safety/Results,"AE: Urinary tract infection (3 cases, 3.8%)",extracted_from_report,medium,calibration_only,yes,,PMID_V3E4_0002,Urinary tract infection - PROJECT_012,3,months,Urinary tract infection,Grade 2,3,3.8%,3 patients (3.8%) experienced Urinary tract infection during 3-month follow-up.
E,U1,S5,DC-4,followup_AE_severity,calibration,fixture,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,Safety/Results,"AE: Bleeding (2 cases, 5.6%)",extracted_from_report,medium,calibration_only,yes,,PMID_V3E4_0003,Bleeding - PROJECT_016,1,month,Bleeding,Mild,2,5.6%,2 patients (5.6%) experienced Bleeding during 1-month follow-up.
E,U1,S5,DC-4,followup_AE_severity,calibration,fixture,HEURISTIC_ONLY,PROJECT_019,Project 019,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,Safety/Results,"AE: Recurrence (5 cases, 8.8%)",extracted_from_report,medium,calibration_only,yes,,PMID_V3E4_0004,Recurrence - PROJECT_019,12,months,Recurrence,Moderate,5,8.8%,5 patients (8.8%) experienced Recurrence during 12-month follow-up.
E,U1,S5,DC-4,followup_AE_severity,calibration,fixture,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Safety/Results,"AE: Skin irritation (12 cases, 11.5%)",extracted_from_report,medium,calibration_only,yes,,PMID_V3E4_0005,Skin irritation - PROJECT_032,6,months,Skin irritation,Mild,12,11.5%,12 patients (11.5%) experienced Skin irritation during 6-month follow-up.
E,U1,S5,DC-4,followup_AE_severity,calibration,fixture,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Safety/Results,"AE: Sensor dislodgement (4 cases, 3.8%)",extracted_from_report,medium,calibration_only,yes,,PMID_V3E4_0006,Sensor dislodgement - PROJECT_032,6,months,Sensor dislodgement,Moderate,4,3.8%,4 patients (3.8%) experienced Sensor dislodgement during 6-month follow-up.
E,U1,S5,DC-4,followup_AE_severity,stress,fixture,HEURISTIC_ONLY,PROJECT_004,Project 004,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/CER/*,Safety/Results,"AE: Device malfunction (3 cases, 3.3%)",extracted_from_report,medium,calibration_only,yes,,PMID_V3E4_0007,Device malfunction - PROJECT_004,12,months,Device malfunction,Severe,3,3.3%,3 patients (3.3%) experienced Device malfunction during 12-month follow-up.
E,U1,S5,DC-4,followup_AE_severity,calibration,fixture,HEURISTIC_ONLY,PROJECT_024,Project 024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*/CER/*,Safety/Results,"AE: Access site hematoma (6 cases, 5.0%)",extracted_from_report,medium,calibration_only,yes,,PMID_V3E4_0008,Access site hematoma - PROJECT_024,24,months,Access site hematoma,Mild,6,5.0%,6 patients (5.0%) experienced Access site hematoma during 24-month follow-up.
E,U1,S5,DC-4,followup_AE_severity,calibration,fixture,HEURISTIC_ONLY,PROJECT_030,Project 030,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*/CER/*,Safety/Results,"AE: Access site complication (4 cases, 7.8%)",extracted_from_report,medium,calibration_only,yes,,PMID_V3E4_0009,Access site complication - PROJECT_030,12,months,Access site complication,Moderate,4,7.8%,4 patients (7.8%) experienced Access site complication during 12-month follow-up.
E,U1,S5,DC-4,followup_AE_severity,holdout,fixture,DERIVED_VALIDATION,PROJECT_034,Project 034,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*/CER/*,Safety/Results,"AE: Skin burn (2 cases, 1.7%)",extracted_from_report,medium,holdout_only,no,,PMID_V3E4_0010,Skin burn - PROJECT_034,6,months,Skin burn,Grade 2,2,1.7%,2 patients (1.7%) experienced Skin burn during 6-month follow-up.
