target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,strategy_route,trigger_condition,human_gate_reason,required_human_decision,system_should_not_auto_decide,business_or_regulatory_risk
K,P0-4,WET,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_004,Project 004,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/CER/*,Human Gate,Trigger: WET status ambiguous - device has minor design changes...,extracted_from_report,medium,calibration_only,yes,Risk: Moderate - wrong route leads to NB rejection,WET,WET status ambiguous - device has minor design changes,Human must assess if design changes invalidate WET status,Is WET still applicable?,yes,Moderate - wrong route leads to NB rejection
K,P0-4,legacy,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_011,Project 011,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*/CER/*,Human Gate,Trigger: Legacy data gap >30% of GSPR clauses...,extracted_from_report,medium,calibration_only,yes,Risk: High - insufficient gap closure blocks approval,legacy,Legacy data gap >30% of GSPR clauses,Human must decide if gap is acceptable or needs CI,Gap closure strategy,yes,High - insufficient gap closure blocks approval
K,P0-4,own_clinical_data,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_002,Project 002,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/CER/*,Human Gate,"Trigger: Single-arm study only, no control group...",extracted_from_report,medium,calibration_only,yes,Risk: High - weak evidence leads to NB challenge,own_clinical_data,"Single-arm study only, no control group",Human must assess if single-arm evidence is sufficient,Is single-arm CI acceptable for claims?,yes,High - weak evidence leads to NB challenge
K,P0-4,own_clinical_data,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_019,Project 019,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,Human Gate,Trigger: Recurrence data incomplete at 12 months...,extracted_from_report,medium,calibration_only,yes,Risk: Moderate - recurrence is key endpoint,own_clinical_data,Recurrence data incomplete at 12 months,Human must decide if PMCF can address or CI needed,PMCF vs additional CI,yes,Moderate - recurrence is key endpoint
K,P0-4,equivalence,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_006,Project 006,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_006_*/CER/*,Human Gate,Trigger: 3-dim equivalence fails on clinical dimension...,extracted_from_report,medium,calibration_only,yes,Risk: High - partial equivalence may not support claims,equivalence,3-dim equivalence fails on clinical dimension,Human must assess if partial equivalence is acceptable,Accept partial equivalence or switch to own data route?,yes,High - partial equivalence may not support claims
K,P0-4,equivalence,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_032,Project 032,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Human Gate,Trigger: Data access agreement limited to summary data only...,extracted_from_report,medium,calibration_only,yes,Risk: High - insufficient data access undermines equivalence,equivalence,Data access agreement limited to summary data only,Human must assess if summary data is sufficient for equivalence,Is summary data adequate for equivalence?,yes,High - insufficient data access undermines equivalence
K,P0-4,literature_primary,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_026,Project 026,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_026_*/CER/*,Human Gate,Trigger: Literature search finds <10 relevant articles...,extracted_from_report,medium,calibration_only,yes,Risk: Moderate - insufficient literature may require own data,literature_primary,Literature search finds <10 relevant articles,Human must assess if literature base is sufficient,Is literature volume adequate?,yes,Moderate - insufficient literature may require own data
K,P0-4,insufficient_evidence,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_025,Project 025,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_025_*/CER/*,Human Gate,Trigger: Core efficacy claim unsupported by any evidence...,extracted_from_report,medium,calibration_only,yes,Risk: Very high - unsupported claims are regulatory risk,insufficient_evidence,Core efficacy claim unsupported by any evidence,Human must decide if device can proceed with PMCF-only or needs CI,CI required or stop development?,yes,Very high - unsupported claims are regulatory risk
K,P0-4,own_clinical_data,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_022,Project 022,special_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_022_*/CER/*,Human Gate,Trigger: Class III implantable with novel mechanism...,extracted_from_report,medium,calibration_only,yes,Risk: Very high - inadequate CI for Class III is safety risk,own_clinical_data,Class III implantable with novel mechanism,Human must assess if CI design is adequate for high-risk device,Is CI design robust enough for Class III?,yes,Very high - inadequate CI for Class III is safety risk
K,P0-4,own_clinical_data,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_023,Project 023,special_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_*/CER/*,Human Gate,Trigger: Life-support device with limited safety data...,extracted_from_report,medium,calibration_only,yes,Risk: Very high - life-support device failure is lethal,own_clinical_data,Life-support device with limited safety data,Human must assess risk-benefit for life-support indication,Is benefit sufficient for life-support risk?,yes,Very high - life-support device failure is lethal
K,P0-4,equivalence,CER_blueprint,writer_constraint,writer_constraint,DERIVED_VALIDATION,PROJECT_034,Project 034,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*/CER/*,Human Gate,Trigger: Vigilance data shows different safety profile vs predicate...,extracted_from_report,medium,holdout_only,no,Risk: High - safety difference is critical for AED,equivalence,Vigilance data shows different safety profile vs predicate,Human must assess if safety difference invalidates equivalence,Does safety difference preclude equivalence?,yes,High - safety difference is critical for AED
K,P0-4,own_clinical_data,CER_blueprint,writer_constraint,writer_constraint,DERIVED_VALIDATION,PROJECT_037,Project 037,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*/CER/*,Human Gate,Trigger: Restenosis rate higher than expected...,extracted_from_report,medium,holdout_only,no,Risk: Moderate - may require design modification,own_clinical_data,Restenosis rate higher than expected,Human must assess if restenosis rate is acceptable,Is restenosis rate clinically acceptable?,yes,Moderate - may require design modification
K,P0-4,own_clinical_data,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_003,Project 003,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_*/CER/*,Human Gate,Trigger: Subgroup analysis shows heterogeneous effects...,extracted_from_report,medium,calibration_only,yes,Risk: Moderate - may limit indication,own_clinical_data,Subgroup analysis shows heterogeneous effects,Human must assess if heterogeneous effects invalidate overall claim,Are subgroup differences clinically significant?,yes,Moderate - may limit indication
K,P0-4,equivalence,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_033,Project 033,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*/CER/*,Human Gate,Trigger: Partial equivalence with own data for missing dimensions...,extracted_from_report,medium,calibration_only,yes,Risk: Moderate - novel route combination,equivalence,Partial equivalence with own data for missing dimensions,Human must assess if mixed route is acceptable,Is hybrid equivalence+own data route valid?,yes,Moderate - novel route combination
K,P0-4,WET,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_007,Project 007,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_007_*/CER/*,Human Gate,Trigger: Intended use expansion beyond established indications...,extracted_from_report,medium,calibration_only,yes,Risk: Moderate - indication expansion may require own data,WET,Intended use expansion beyond established indications,Human must assess if expanded indication is still WET,Does expanded indication maintain WET status?,yes,Moderate - indication expansion may require own data
