target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,strategy_route,allowed_conclusion_strength,forbidden_phrasing,required_limitation_language,required_PMFC_or_gap_language,required_equivalence_limitation,required_BR_language,example_good_phrase,example_bad_phrase
K,P0-4,WET,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_004,Project 004,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/CER/*,Writer Constraints,Route: WET | Allowed: moderate,extracted_from_report,medium,calibration_only,yes,"Forbidden: Proven superior efficacy, guaranteed saf...",WET,moderate,"Proven superior efficacy, guaranteed safety",The device is based on well-established technology with [X] years of clinical experience,Standard PMCF will monitor ongoing performance,N/A,Benefit-risk is favorable based on established clinical experience,The device leverages well-established technology with documented clinical experience,The device is completely safe and effective for all patients
K,P0-4,WET,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_007,Project 007,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_007_*/CER/*,Writer Constraints,Route: WET | Allowed: moderate,extracted_from_report,medium,calibration_only,yes,"Forbidden: Revolutionary, first-of-its-kind...",WET,moderate,"Revolutionary, first-of-its-kind",This device is based on established design principles,PMCF will confirm ongoing safety,N/A,Established benefit-risk profile,Standard medical instrument with established safety profile,Breakthrough technology with unprecedented results
K,P0-4,legacy,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_011,Project 011,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*/CER/*,Writer Constraints,Route: legacy | Allowed: moderate,extracted_from_report,medium,calibration_only,yes,"Forbidden: Equivalent to modern devices, fully MDR ...",legacy,moderate,"Equivalent to modern devices, fully MDR compliant",Legacy data from pre-MDR certification is supplemented by [gap analysis/PMCF],Enhanced PMCF addresses MDR transition gaps including [specific gaps],N/A,Benefit-risk is acceptable with documented transition plan,Pre-MDR clinical data supplemented by gap analysis and enhanced PMCF,Fully compliant with all MDR requirements based on legacy data
K,P0-4,own_clinical_data,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_002,Project 002,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/CER/*,Writer Constraints,Route: own_clinical_data | Allowed: strong,extracted_from_report,medium,calibration_only,yes,"Forbidden: Proven, definitive, guaranteed...",own_clinical_data,strong,"Proven, definitive, guaranteed",Clinical investigation results show [endpoint] with [CI]; limitations include [X],PMCF will assess long-term outcomes not covered by the CI,N/A,Benefit-risk is favorable based on clinical investigation results,The clinical investigation demonstrated [endpoint] of X% (95% CI Y-Z),The device is proven to cure all patients
K,P0-4,own_clinical_data,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_012,Project 012,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,Writer Constraints,Route: own_clinical_data | Allowed: strong,extracted_from_report,medium,calibration_only,yes,"Forbidden: 100% effective, zero risk...",own_clinical_data,strong,"100% effective, zero risk","Study limitations: single-center, [follow-up duration]",PMCF will evaluate recurrence rates beyond [follow-up],N/A,Benefit-risk favorable for intended population,Stone-free rate of 87.5% (70/80) with 3-month follow-up,Guaranteed stone removal with no complications
K,P0-4,equivalence,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_006,Project 006,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_006_*/CER/*,Writer Constraints,Route: equivalence | Allowed: moderate,extracted_from_report,medium,calibration_only,yes,"Forbidden: Identical to, fully equivalent without l...",equivalence,moderate,"Identical to, fully equivalent without limitations",Equivalence is established for [technical/biological/clinical] characteristics,PMCF will monitor residual uncertainty from equivalence route,Equivalent device evidence is used with data_access_statement and limitations,Benefit-risk is acceptable based on equivalent device data with acknowledged limitations,"The device is equivalent to [predicate] with respect to technical, biological, and clinical characteristics",Identical to predicate device in every way
K,P0-4,equivalence,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_032,Project 032,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Writer Constraints,Route: equivalence | Allowed: weak,extracted_from_report,medium,calibration_only,yes,"Forbidden: Fully equivalent, no differences...",equivalence,weak,"Fully equivalent, no differences",Partial equivalence: [dimensions] are equivalent; [dimensions] differ,Enhanced PMCF required for equivalence gaps,Limitation: Data access restricted for [specific aspects]; own data limited,Benefit-risk acceptable with substantial limitations,Partial equivalence to Dexcom G6 with limitations in sensor adhesive and calibration frequency,Fully equivalent to Dexcom G6 with identical performance
K,P0-4,literature_primary,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_026,Project 026,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_026_*/CER/*,Writer Constraints,Route: literature_primary | Allowed: moderate,extracted_from_report,medium,calibration_only,yes,"Forbidden: Clinically proven, FDA approved (if not)...",literature_primary,moderate,"Clinically proven, FDA approved (if not)",Evidence is based on published literature; no own clinical investigation conducted,PMCF will address literature gaps,N/A,Benefit-risk based on published evidence,Published literature demonstrates diagnostic accuracy of X% in [population],Our clinical trials prove superiority
K,P0-4,insufficient_evidence,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_025,Project 025,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_025_*/CER/*,Writer Constraints,Route: insufficient_evidence | Allowed: weak,extracted_from_report,medium,calibration_only,yes,"Forbidden: Proven effective, well-established...",insufficient_evidence,weak,"Proven effective, well-established",Current evidence is insufficient to fully support [core claim]; PMCF is planned,Comprehensive PMCF is mandatory to address [specific gaps],N/A,Benefit-risk is uncertain; PMCF essential,Current evidence supports conditional approval with comprehensive PMCF,Sufficient evidence for full approval
K,P0-4,own_clinical_data,CER_blueprint,writer_constraint,writer_constraint,HEURISTIC_ONLY,PROJECT_022,Project 022,special_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_022_*/CER/*,Writer Constraints,Route: own_clinical_data | Allowed: strong,extracted_from_report,medium,calibration_only,yes,"Forbidden: Zero risk, 100% success...",own_clinical_data,strong,"Zero risk, 100% success",Extensive safety monitoring ongoing; long-term data limited,Enhanced PMCF mandatory for durability and late complications,N/A,Benefit-risk favorable with intensive monitoring,Clinical investigation demonstrates safety and efficacy with planned long-term follow-up,Perfect safety record with no need for follow-up
