target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,decision_type,system_decision,rationale_for_NB,source_evidence,regulatory_basis,limitations,what_would_trigger_rework_or_human_gate
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_004,Project 004,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/NB_feedback/*,NB Explainability,Decision: WET route selected...,NB_feedback_explicit,high,locked_no_writer,no,Type: strategy_route,strategy_route,WET route selected,Device has >10 years market history with established design principles; equivalent devices have extensive clinical data; MDR Article 61(6) applies,"Market history documentation, predicate device data","MDR Article 61(6), MDCG 2020-6",WET status may not cover all intended use expansions,Novel design features or indication expansion
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_011,Project 011,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*/NB_feedback/*,NB Explainability,Decision: Legacy route selected...,NB_feedback_explicit,high,locked_no_writer,no,Type: strategy_route,strategy_route,Legacy route selected,Device line has pre-MDR certification under MDD; clinical data from legacy devices available; gap analysis identifies MDR-specific requirements,"MDD certificate, legacy clinical data, gap analysis",MDR Annex XIV Part A(3),Legacy data may not cover all GSPR clauses; enhanced PMCF required,Gaps >30% or critical safety gaps
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_002,Project 002,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/NB_feedback/*,NB Explainability,Decision: Evidence sufficient with limitations...,NB_feedback_explicit,high,locked_no_writer,no,Type: evidence_sufficiency,evidence_sufficiency,Evidence sufficient with limitations,RCT demonstrates primary endpoint (p<0.05); CI covers intended population; follow-up adequate for initial approval; PMCF addresses long-term outcomes,"RCT results, statistical analysis, PMCF plan",MDCG 2020-6 Section 5,Subgroup analysis limited; long-term data pending PMCF,"p>0.05, insufficient power, missing safety endpoints"
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_032,Project 032,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/NB_feedback/*,NB Explainability,Decision: Partial equivalence accepted with limitations...,NB_feedback_explicit,high,locked_no_writer,no,Type: equivalence,equivalence,Partial equivalence accepted with limitations,Technical and biological equivalence demonstrated; clinical equivalence partial due to adhesive differences; own data supplements adhesive performance; data access agreement covers summary data,"3-dim comparison, own adhesive data, data access agreement",MDCG 2020-5 Section 3-4,Partial equivalence requires strong limitation language; enhanced PMCF for residual uncertainty,Any dimension fails without supplementation
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_025,Project 025,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_025_*/NB_feedback/*,NB Explainability,Decision: Evidence insufficient - CI required...,NB_feedback_explicit,high,locked_no_writer,no,Type: evidence_sufficiency,evidence_sufficiency,Evidence insufficient - CI required,No clinical data in target population; literature does not cover intended use; PMCF alone cannot establish efficacy; core claims unsupported,"Gap analysis, literature review, PMCF assessment","MDR Article 62, MDCG 2020-6",Device cannot proceed without CI; development halted,Any core claim without supporting evidence
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_006,Project 006,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_006_*/NB_feedback/*,NB Explainability,Decision: Full equivalence accepted...,NB_feedback_explicit,high,locked_no_writer,no,Type: equivalence,equivalence,Full equivalence accepted,"Technical, biological, and clinical equivalence fully demonstrated; comprehensive comparison table; data access statement available; vigilance comparison shows no safety concerns","3-dim comparison table, data access statement, vigilance data",MDCG 2020-5,Standard PMCF for ongoing surveillance,Any dimension incomplete or data access missing
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_019,Project 019,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/NB_feedback/*,NB Explainability,Decision: PMCF acceptable for recurrence monitoring...,NB_feedback_explicit,high,locked_no_writer,no,Type: PMCF_decision,PMCF_decision,PMCF acceptable for recurrence monitoring,Recurrence is a long-term endpoint not observable in pre-market CI; PMCF registry design adequate for data collection; sample size and follow-up proportionate to gap,"PMCF protocol, statistical justification, gap analysis",MDR Article 74-77,PMCF must be implemented within 12 months of approval,PMCF design inadequate or gap severity high
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_022,Project 022,special_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_022_*/NB_feedback/*,NB Explainability,Decision: Enhanced PMCF mandatory...,NB_feedback_explicit,high,locked_no_writer,no,Type: PMCF_decision,PMCF_decision,Enhanced PMCF mandatory,Class III implantable with novel mechanism; long-term durability unknown; safety signals require intensive monitoring; standard PMCF insufficient,"Risk analysis, CI limitations, Class III requirements","MDR Article 74, MDCG 2020-10-1",Enhanced PMCF must include international registry,Class III + innovation + limited long-term data
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_026,Project 026,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_026_*/NB_feedback/*,NB Explainability,Decision: Literature sufficient for diagnostic accuracy...,NB_feedback_explicit,high,locked_no_writer,no,Type: literature_role,literature_role,Literature sufficient for diagnostic accuracy,Published studies demonstrate accuracy in representative population; search strategy comprehensive; quality appraisal confirms adequate methodology; no own CI needed,"Systematic review, literature appraisal, search documentation",MDCG 2020-6 Section 4,Literature may not cover all intended use scenarios,Literature <10 articles or quality concerns
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,DERIVED_VALIDATION,PROJECT_034,Project 034,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*/NB_feedback/*,NB Explainability,Decision: Equivalence accepted with vigilance comparison...,NB_feedback_explicit,high,holdout_only,no,Type: equivalence,equivalence,Equivalence accepted with vigilance comparison,3-dim equivalence demonstrated; vigilance data systematically compared with predicate; no significant safety differences identified; data access agreement comprehensive,"Equivalence assessment, vigilance comparison, data access agreement","MDCG 2020-5, MDCG 2020-10-1",Vigilance comparison limited to 3 years post-market,Vigilance differences >10% or serious safety signals
