target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,NB_question_or_deficiency,challenged_strategy_route,challenged_evidence_gap,company_response_summary,accepted_or_not,final_resolution,lesson_for_system,NB_explainability_need
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_002,Project 002,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/NB_feedback/*,NB Feedback,NB: Insufficient evidence for MACE reduction claim...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Claim downgraded to 'trend toward MACE r...,Insufficient evidence for MACE reduction claim,own_clinical_data,MACE reduction not statistically significant (p=0.058),Added subgroup analysis and longer follow-up data,partial,Claim downgraded to 'trend toward MACE reduction' with limitation,System should flag p>0.05 as insufficient for strong claims,Explain why p=0.058 does not support strong MACE claim
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_003,Project 003,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_*/NB_feedback/*,NB Feedback,NB: Equivalence route not justified for novel design features...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Hybrid route accepted with clear delinea...,Equivalence route not justified for novel design features,equivalence,Clinical dimension equivalence weak,"Added own clinical data for novel features, kept equivalence for standard features",yes,Hybrid route accepted with clear delineation,System should detect partial equivalence and recommend hybrid approach,Explain hybrid route rationale and delineation
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_011,Project 011,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*/NB_feedback/*,NB Feedback,NB: Legacy data does not cover GSPR 14.2 (biocompatibility)...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Gap closed with testing + PMCF...,Legacy data does not cover GSPR 14.2 (biocompatibility),legacy,Biocompatibility data gap,Added updated biocompatibility testing and PMCF plan,yes,Gap closed with testing + PMCF,System should map legacy data to all GSPR clauses,Explain gap mapping and closure strategy
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_012,Project 012,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/NB_feedback/*,NB Feedback,NB: Stone-free rate claim overstates population applicability...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Indication narrowed to stones <=20mm...,Stone-free rate claim overstates population applicability,own_clinical_data,Subgroup analysis missing for stone >20mm,Added subgroup analysis and indication limitation,yes,Indication narrowed to stones <=20mm,System should require subgroup analysis for broad claims,Explain indication narrowing based on evidence
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_019,Project 019,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/NB_feedback/*,NB Feedback,NB: PMCF plan inadequate for recurrence monitoring...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Enhanced PMCF accepted...,PMCF plan inadequate for recurrence monitoring,own_clinical_data,PMCF sample size and follow-up insufficient,Enhanced PMCF with registry design and 3-year follow-up,yes,Enhanced PMCF accepted,System should evaluate PMCF adequacy against gap severity,Explain PMCF enhancement rationale
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_032,Project 032,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/NB_feedback/*,NB Feedback,NB: Equivalence to Dexcom G6 not fully demonstrated...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Partial equivalence accepted with substa...,Equivalence to Dexcom G6 not fully demonstrated,equivalence,Adhesive and calibration differences not adequately addressed,"Added own data for adhesive performance, kept equivalence for sensor accuracy",partial,Partial equivalence accepted with substantial limitations,System should identify equivalence dimension gaps,Explain partial equivalence with limitation language
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_033,Project 033,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*/NB_feedback/*,NB Feedback,NB: Data access statement missing for equivalent device evidence...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Data access documentation accepted...,Data access statement missing for equivalent device evidence,equivalence,No documented access to equivalent device clinical data,Added data access agreement summary,yes,Data access documentation accepted,System must require data_access_statement for equivalence,Explain data access requirement for equivalence
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_004,Project 004,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/NB_feedback/*,NB Feedback,NB: WET justification lacks post-market surveillance data...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Vigilance data + PMCF sufficient for WET...,WET justification lacks post-market surveillance data,WET,No post-market data in CER,Added vigilance summary and PMCF plan,yes,Vigilance data + PMCF sufficient for WET,System should require vigilance data for WET devices,Explain WET justification components
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_022,Project 022,special_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_022_*/NB_feedback/*,NB Feedback,NB: Clinical investigation underpowered for safety endpoints...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: Enhanced PMCF required for safety signal...,Clinical investigation underpowered for safety endpoints,own_clinical_data,Safety endpoint power <80%,Added post-hoc power analysis and enhanced PMCF,partial,Enhanced PMCF required for safety signals,System should flag underpowered safety endpoints,Explain power analysis and PMCF compensation
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,NB_explanation,HEURISTIC_ONLY,PROJECT_023,Project 023,special_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_*/NB_feedback/*,NB Feedback,NB: Long-term outcomes (>30 days) not addressed...,NB_feedback_explicit,high,locked_no_writer,no,Resolution: PMCF registry accepted for long-term dat...,Long-term outcomes (>30 days) not addressed,own_clinical_data,Follow-up limited to 30 days,Added PMCF registry for 1-year follow-up,yes,PMCF registry accepted for long-term data,System should flag short follow-up for life-support devices,Explain follow-up adequacy for device class
