target_batch,target_upgrade,target_stage,target_dc,score_area,dataset_role,absorption_type,closure_level_supported,project_id,project_name,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,pmid,title,data_point_description,data_point_value,data_type,source_type,data_found_in_abstract,data_found_in_fulltext,source_sentence_or_location,source_table_or_figure,trace_status,extraction_method_candidate
E,U1,S5,DC-4,clinical_fact_traceability,stress,fixture,HEURISTIC_ONLY,PROJECT_004,Project 004,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*,Methods/Results,ROSC rate: 68.2%,extracted_from_report,medium,calibration_only,yes,Device type: cardiac_AED; detail: n=62/91,PMID_V3E_0001,ROSC rate - PROJECT_004,ROSC rate,68.2%,proportion,abstract,True,False,Results section: ROSC rate,Table 1,unverifiable,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,stress,fixture,HEURISTIC_ONLY,PROJECT_004,Project 004,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*,Methods/Results,Survival to admission: 42.9%,extracted_from_report,medium,calibration_only,yes,Device type: cardiac_AED; detail: n=39/91,PMID_V3E_0002,Survival to admission - PROJECT_004,Survival to admission,42.9%,proportion,abstract,True,False,Results section: Survival to admission,Table 1,unverifiable,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,stress,fixture,HEURISTIC_ONLY,PROJECT_004,Project 004,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*,Methods/Results,Time to first shock: 3.2 ± 1.8 min,extracted_from_report,medium,calibration_only,yes,Device type: cardiac_AED; detail: None,PMID_V3E_0003,Time to first shock - PROJECT_004,Time to first shock,3.2 ± 1.8 min,mean_sd,abstract,True,False,Results section: Time to first shock,Table 1,unverifiable,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,stress,fixture,HEURISTIC_ONLY,PROJECT_004,Project 004,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*,Methods/Results,Follow-up duration: 12 months,extracted_from_report,medium,calibration_only,yes,Device type: cardiac_AED; detail: None,PMID_V3E_0004,Follow-up duration - PROJECT_004,Follow-up duration,12 months,followup,abstract,True,False,Results section: Follow-up duration,Table 1,unverifiable,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,stress,fixture,HEURISTIC_ONLY,PROJECT_004,Project 004,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*,Methods/Results,Device malfunction: 3 cases,extracted_from_report,medium,calibration_only,yes,Device type: cardiac_AED; detail: None,PMID_V3E_0005,Device malfunction - PROJECT_004,Device malfunction,3 cases,AE_count,abstract,True,False,Results section: Device malfunction,Table 1,unverifiable,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_034,Project 034,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*,Methods/Results,ROSC rate: 72.5%,extracted_from_report,medium,holdout_only,no,Device type: cardiac_AED; detail: n=87/120,PMID_V3E_0006,ROSC rate - PROJECT_034,ROSC rate,72.5%,proportion,abstract,True,False,Results section: ROSC rate,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_034,Project 034,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*,Methods/Results,30-day survival: 38.3%,extracted_from_report,medium,holdout_only,no,Device type: cardiac_AED; detail: n=46/120,PMID_V3E_0007,30-day survival - PROJECT_034,30-day survival,38.3%,proportion,abstract,True,False,Results section: 30-day survival,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_034,Project 034,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*,Methods/Results,ROSC 95% CI: 64.2–79.8%,extracted_from_report,medium,holdout_only,no,Device type: cardiac_AED; detail: None,PMID_V3E_0008,ROSC 95% CI - PROJECT_034,ROSC 95% CI,64.2–79.8%,CI,abstract,True,False,Results section: ROSC 95% CI,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,holdout,fixture,DERIVED_VALIDATION,PROJECT_034,Project 034,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*,Methods/Results,Time to shock: 2.8 ± 1.5 min,extracted_from_report,medium,holdout_only,no,Device type: cardiac_AED; detail: None,PMID_V3E_0009,Time to shock - PROJECT_034,Time to shock,2.8 ± 1.5 min,mean_sd,abstract,True,False,Results section: Time to shock,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*,Methods/Results,HbA1c reduction: -0.52 ± 0.31%,extracted_from_report,medium,calibration_only,yes,Device type: diabetes_CGM; detail: None,PMID_V3E_0010,HbA1c reduction - PROJECT_032,HbA1c reduction,-0.52 ± 0.31%,mean_sd,abstract,True,False,Results section: HbA1c reduction,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*,Methods/Results,Time in range: 68.4%,extracted_from_report,medium,calibration_only,yes,Device type: diabetes_CGM; detail: None,PMID_V3E_0011,Time in range - PROJECT_032,Time in range,68.4%,proportion,abstract,True,False,Results section: Time in range,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*,Methods/Results,Sensor wear time: day 14 [12–14],extracted_from_report,medium,calibration_only,yes,Device type: diabetes_CGM; detail: None,PMID_V3E_0012,Sensor wear time - PROJECT_032,Sensor wear time,day 14 [12–14],median_iqr,abstract,True,False,Results section: Sensor wear time,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*,Methods/Results,Skin irritation: 12 cases,extracted_from_report,medium,calibration_only,yes,Device type: diabetes_CGM; detail: None,PMID_V3E_0013,Skin irritation - PROJECT_032,Skin irritation,12 cases,AE_count,abstract,True,False,Results section: Skin irritation,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*,Methods/Results,Study duration: 6 months,extracted_from_report,medium,calibration_only,yes,Device type: diabetes_CGM; detail: None,PMID_V3E_0014,Study duration - PROJECT_032,Study duration,6 months,followup,abstract,True,False,Results section: Study duration,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,stress,fixture,HEURISTIC_ONLY,PROJECT_033,Project 033,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*,Methods/Results,Mean glucose: 142.3 ± 28.5 mg/dL,extracted_from_report,medium,calibration_only,yes,Device type: diabetes_CGM; detail: None,PMID_V3E_0015,Mean glucose - PROJECT_033,Mean glucose,142.3 ± 28.5 mg/dL,mean_sd,abstract,True,False,Results section: Mean glucose,Table 1,unverifiable,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,stress,fixture,HEURISTIC_ONLY,PROJECT_033,Project 033,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*,Methods/Results,Time in range >70%: 45.2%,extracted_from_report,medium,calibration_only,yes,Device type: diabetes_CGM; detail: n=47/104,PMID_V3E_0016,Time in range >70% - PROJECT_033,Time in range >70%,45.2%,proportion,abstract,True,False,Results section: Time in range >70%,Table 1,unverifiable,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,stress,fixture,HEURISTIC_ONLY,PROJECT_033,Project 033,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*,Methods/Results,Hypoglycemia HR: 0.72,extracted_from_report,medium,calibration_only,yes,Device type: diabetes_CGM; detail: 95% CI 0.58–0.89,PMID_V3E_0017,Hypoglycemia HR - PROJECT_033,Hypoglycemia HR,0.72,HR,abstract,True,False,Results section: Hypoglycemia HR,Table 1,unverifiable,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*,Methods/Results,Stone-free rate: 87.5%,extracted_from_report,medium,calibration_only,yes,Device type: urology; detail: n=70/80,PMID_V3E_0018,Stone-free rate - PROJECT_012,Stone-free rate,87.5%,proportion,abstract,True,False,Results section: Stone-free rate,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*,Methods/Results,Complication rate: 12.5%,extracted_from_report,medium,calibration_only,yes,Device type: urology; detail: n=10/80,PMID_V3E_0019,Complication rate - PROJECT_012,Complication rate,12.5%,proportion,abstract,True,False,Results section: Complication rate,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*,Methods/Results,Procedure time: 45.2 ± 18.3 min,extracted_from_report,medium,calibration_only,yes,Device type: urology; detail: None,PMID_V3E_0020,Procedure time - PROJECT_012,Procedure time,45.2 ± 18.3 min,mean_sd,abstract,True,False,Results section: Procedure time,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*,Methods/Results,Follow-up: 3 months,extracted_from_report,medium,calibration_only,yes,Device type: urology; detail: None,PMID_V3E_0021,Follow-up - PROJECT_012,Follow-up,3 months,followup,abstract,True,False,Results section: Follow-up,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*,Methods/Results,Clavien-Dindo II: 8 cases,extracted_from_report,medium,calibration_only,yes,Device type: urology; detail: None,PMID_V3E_0022,Clavien-Dindo II - PROJECT_012,Clavien-Dindo II,8 cases,AE_severity,abstract,True,False,Results section: Clavien-Dindo II,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_019,Project 019,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*,Methods/Results,Complete response: 91.2%,extracted_from_report,medium,calibration_only,yes,Device type: urology; detail: n=52/57,PMID_V3E_0023,Complete response - PROJECT_019,Complete response,91.2%,proportion,abstract,True,False,Results section: Complete response,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_019,Project 019,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*,Methods/Results,Recurrence rate: 8.8%,extracted_from_report,medium,calibration_only,yes,Device type: urology; detail: n=5/57,PMID_V3E_0024,Recurrence rate - PROJECT_019,Recurrence rate,8.8%,proportion,abstract,True,False,Results section: Recurrence rate,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_019,Project 019,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*,Methods/Results,Response rate 95% CI: 80.7–96.9%,extracted_from_report,medium,calibration_only,yes,Device type: urology; detail: None,PMID_V3E_0025,Response rate 95% CI - PROJECT_019,Response rate 95% CI,80.7–96.9%,CI,abstract,True,False,Results section: Response rate 95% CI,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_019,Project 019,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*,Methods/Results,Time to recurrence: 18 [12–24] months,extracted_from_report,medium,calibration_only,yes,Device type: urology; detail: None,PMID_V3E_0026,Time to recurrence - PROJECT_019,Time to recurrence,18 [12–24] months,median_iqr,abstract,True,False,Results section: Time to recurrence,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_002,Project 002,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*,Methods/Results,FFR measurement: 0.82 ± 0.12,extracted_from_report,medium,calibration_only,yes,Device type: cardiovascular; detail: None,PMID_V3E_0027,FFR measurement - PROJECT_002,FFR measurement,0.82 ± 0.12,mean_sd,abstract,True,False,Results section: FFR measurement,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_002,Project 002,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*,Methods/Results,Diagnostic accuracy: 89.3%,extracted_from_report,medium,calibration_only,yes,Device type: cardiovascular; detail: n=134/150,PMID_V3E_0028,Diagnostic accuracy - PROJECT_002,Diagnostic accuracy,89.3%,proportion,abstract,True,False,Results section: Diagnostic accuracy,Table 1,verified,regex_v2
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_002,Project 002,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*,Methods/Results,MACE HR: 0.65,extracted_from_report,medium,calibration_only,yes,Device type: cardiovascular; detail: 95% CI 0.42–1.01,PMID_V3E_0029,MACE HR - PROJECT_002,MACE HR,0.65,HR,abstract,True,False,Results section: MACE HR,Table 1,verified,llm_hybrid
E,U1,S5,DC-4,clinical_fact_traceability,calibration,fixture,HEURISTIC_ONLY,PROJECT_002,Project 002,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*,Methods/Results,MACE p-value: 0.058,extracted_from_report,medium,calibration_only,yes,Device type: cardiovascular; detail: None,PMID_V3E_0030,MACE p-value - PROJECT_002,MACE p-value,0.058,p_value,fulltext_text,False,True,Results section: MACE p-value,Table 1,verified,llm_hybrid
