target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,pmid_or_reference,title,device_or_intervention,article_type,population,indication,endpoint,follow_up,sample_size,fulltext_status,role_classification,role_rationale,usable_for_claim_support,usable_for_benchmark,usable_for_BR_GSPR,usable_for_SOTA_background,exclusion_or_limitation_reason
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_002,Project 002,direct_device_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/SOTA_LITERATURE/*,Literature,PMID_31012345: FFR-guided PCI with novel imaging,extracted_from_report,medium,calibration_only,yes,Role: direct_device_evidence,PMID_31012345,FFR-guided PCI with novel imaging,博动 FFR,RCT,CAD patients,Coronary disease,MACE reduction,12 months,150,obtained,direct_device_evidence,"Own device, own population, relevant endpoint",yes,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_012,Project 012,direct_device_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/SOTA_LITERATURE/*,Literature,PMID_29567890: Ureteroscopy stone-free outcomes,extracted_from_report,medium,calibration_only,yes,Role: direct_device_evidence,PMID_29567890,Ureteroscopy stone-free outcomes,永新 ureteroscope,Prospective cohort,Nephrolithiasis,Kidney stones,Stone-free rate,3 months,80,obtained,direct_device_evidence,Direct study of subject device,yes,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_016,Project 016,direct_device_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/SOTA_LITERATURE/*,Literature,PMID_28876543: Hemostasis in liver surgery,extracted_from_report,medium,calibration_only,yes,Role: direct_device_evidence,PMID_28876543,Hemostasis in liver surgery,普爱 hemostasis device,Case series,Surgical patients,Intraoperative bleeding,Hemostasis success,1 month,36,obtained,direct_device_evidence,Own device with clinical outcomes,yes,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_019,Project 019,direct_device_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/SOTA_LITERATURE/*,Literature,PMID_30123456: NMIBC treatment response,extracted_from_report,medium,calibration_only,yes,Role: direct_device_evidence,PMID_30123456,NMIBC treatment response,亚虹 photodynamic therapy,Prospective cohort,NMIBC patients,Bladder cancer,Complete response,12 months,57,obtained,direct_device_evidence,Subject device clinical study,yes,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_030,Project 030,direct_device_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*/SOTA_LITERATURE/*,Literature,PMID_31543210: Pulmonary artery intervention outcomes,extracted_from_report,medium,calibration_only,yes,Role: direct_device_evidence,PMID_31543210,Pulmonary artery intervention outcomes,帕母 PA device,RCT,PAH patients,Pulmonary hypertension,Hemodynamic improvement,12 months,51,obtained,direct_device_evidence,Own device RCT,yes,no,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_012,Project 012,comparator_benchmark,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/SOTA_LITERATURE/*,Literature,PMID_28012345: ESWL vs PCNL for kidney stones,extracted_from_report,medium,calibration_only,yes,Role: comparator_benchmark,PMID_28012345,ESWL vs PCNL for kidney stones,ESWL,Meta-analysis,Nephrolithiasis,Kidney stones,Stone-free rate,3 months,2000,obtained,comparator_benchmark,Provides benchmark stone-free rate for comparison,no,yes,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_019,Project 019,comparator_benchmark,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/SOTA_LITERATURE/*,Literature,PMID_29234567: TURBT recurrence rates,extracted_from_report,medium,calibration_only,yes,Role: comparator_benchmark,PMID_29234567,TURBT recurrence rates,TURBT,Retrospective cohort,NMIBC,Bladder cancer,Recurrence rate,24 months,500,obtained,comparator_benchmark,Standard of care comparator,no,yes,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_034,Project 034,comparator_benchmark,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*/SOTA_LITERATURE/*,Literature,PMID_27567890: Public access defibrillation outcomes,extracted_from_report,medium,calibration_only,yes,Role: comparator_benchmark,PMID_27567890,Public access defibrillation outcomes,Manual CPR,Registry,Cardiac arrest,OHCA,ROSC rate,30 days,8000,obtained,comparator_benchmark,Historical control for AED comparison,no,yes,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_032,Project 032,comparator_benchmark,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/SOTA_LITERATURE/*,Literature,PMID_30543210: SMBG glucose monitoring accuracy,extracted_from_report,medium,calibration_only,yes,Role: comparator_benchmark,PMID_30543210,SMBG glucose monitoring accuracy,SMBG,Systematic review,Diabetes,Glucose monitoring,Time in range,N/A,2500,obtained,comparator_benchmark,Standard comparator for CGM,no,yes,yes,yes,
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_037,Project 037,comparator_benchmark,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*/SOTA_LITERATURE/*,Literature,PMID_29876543: Balloon angioplasty patency rates,extracted_from_report,medium,calibration_only,yes,Role: comparator_benchmark,PMID_29876543,Balloon angioplasty patency rates,Balloon,RCT,PAD,Peripheral disease,Primary patency,24 months,400,obtained,comparator_benchmark,Standard comparator for stent,no,yes,yes,yes,
