target_batch,target_capability,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_table_or_figure,source_quote_or_cell,evidence_level,confidence,locked_status,writer_access_allowed,absorption_type,closure_level_supported,notes,source_text,missing_context,why_incomplete,correct_fact_status,correct_data_use_allowed,should_enter_benchmark,should_enter_claim_support,should_enter_BR_GSPR
O,statistical_parser_v3,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,"Report states ""efficacy was 85%"" without specifying N or analysis set.",denominator missing,"Report states ""efficacy was 85%"" without specifying N or analysis set.",incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,"Text mentions ""improved outcomes"" but no explicit primary or secondary endpoint defined.",endpoint missing,"Text mentions ""improved outcomes"" but no explicit primary or secondary endpoint defined.",incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,Abstract-only summary with no enrolled population description.,population missing,Abstract-only summary with no enrolled population description.,incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_019_江苏亚虹,019 江苏亚虹,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_江苏亚虹,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,"Value mentioned without table reference, figure reference, or citation.",source anchor missing,"Value mentioned without table reference, figure reference, or citation.",incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_023_心擎,023 心擎,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_心擎,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,Result reported for a subgroup without total population denominator.,subgroup-only,Result reported for a subgroup without total population denominator.,incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_030_无锡帕母,030 无锡帕母,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_无锡帕母,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,PubMed abstract without fulltext access; statistical details insufficient.,abstract-only,PubMed abstract without fulltext access; statistical details insufficient.,incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_031_上海凯联 新,031 上海凯联 新,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_031_上海凯联 新,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,Rate reported as per-procedure in text but per-patient in table.,per-patient vs per-procedure mixed,Rate reported as per-procedure in text but per-patient in table.,incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_039_鑫君特,039 鑫君特,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_039_鑫君特,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,"Report states ""efficacy was 85%"" without specifying N or analysis set.",denominator missing,"Report states ""efficacy was 85%"" without specifying N or analysis set.",incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_002_上海博动,002 上海博动,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_上海博动,,,,extracted_from_report,medium,open_input,yes,semantic_test,HEURISTIC_ONLY,,"Text mentions ""improved outcomes"" but no explicit primary or secondary endpoint defined.",endpoint missing,"Text mentions ""improved outcomes"" but no explicit primary or secondary endpoint defined.",incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_011_浙江景嘉,011 浙江景嘉,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_浙江景嘉,,,,extracted_from_report,medium,open_input,yes,semantic_test,HEURISTIC_ONLY,,Abstract-only summary with no enrolled population description.,population missing,Abstract-only summary with no enrolled population description.,incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_032_三诺生物,032 三诺生物,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_三诺生物,,,,extracted_from_report,medium,open_input,yes,semantic_test,HEURISTIC_ONLY,,"Value mentioned without table reference, figure reference, or citation.",source anchor missing,"Value mentioned without table reference, figure reference, or citation.",incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创,,,,extracted_from_report,medium,holdout_only,no,semantic_test,HEURISTIC_ONLY,,Result reported for a subgroup without total population denominator.,subgroup-only,Result reported for a subgroup without total population denominator.,incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱,,,,extracted_from_report,medium,holdout_only,no,semantic_test,HEURISTIC_ONLY,,PubMed abstract without fulltext access; statistical details insufficient.,abstract-only,PubMed abstract without fulltext access; statistical details insufficient.,incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_017_湖南菁益,017 湖南菁益,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_017_湖南菁益,,,,extracted_from_report,medium,holdout_only,no,semantic_test,HEURISTIC_ONLY,,Rate reported as per-procedure in text but per-patient in table.,per-patient vs per-procedure mixed,Rate reported as per-procedure in text but per-patient in table.,incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_019_江苏亚虹,019 江苏亚虹,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_江苏亚虹,,,,extracted_from_report,medium,open_input,yes,semantic_test,HEURISTIC_ONLY,,"Report states ""efficacy was 85%"" without specifying N or analysis set.",denominator missing,"Report states ""efficacy was 85%"" without specifying N or analysis set.",incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_023_心擎,023 心擎,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_心擎,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,"Text mentions ""improved outcomes"" but no explicit primary or secondary endpoint defined.",endpoint missing,"Text mentions ""improved outcomes"" but no explicit primary or secondary endpoint defined.",incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_030_无锡帕母,030 无锡帕母,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_无锡帕母,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,Abstract-only summary with no enrolled population description.,population missing,Abstract-only summary with no enrolled population description.,incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_031_上海凯联 新,031 上海凯联 新,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_031_上海凯联 新,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,"Value mentioned without table reference, figure reference, or citation.",source anchor missing,"Value mentioned without table reference, figure reference, or citation.",incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_039_鑫君特,039 鑫君特,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_039_鑫君特,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,Result reported for a subgroup without total population denominator.,subgroup-only,Result reported for a subgroup without total population denominator.,incomplete,no,no,no,no
O,statistical_parser_v3,PROJECT_002_上海博动,002 上海博动,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_上海博动,,,,extracted_from_report,medium,calibration_only,yes,semantic_test,HEURISTIC_ONLY,,PubMed abstract without fulltext access; statistical details insufficient.,abstract-only,PubMed abstract without fulltext access; statistical details insufficient.,incomplete,no,no,no,no
