target_batch,target_upgrade,target_stage,target_dc,score_area,dataset_role,absorption_type,closure_level_supported,project_id,project_name,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,cer_file_path,version,accepted_status,before_after_pair_id,has_known_writer_issues,known_issue_types,representative_level
H,U6,S12,writer_QA,writer_prose_quality,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,NB_accepted,CER NB_accepted - PROJECT_012,accepted_revision_derived,medium,calibration_only,yes,Clean prose,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,NB_accepted,yes,BA_012_01,no,,Level_2_historical
H,U6,S12,writer_QA,writer_prose_quality,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,draft,CER draft - PROJECT_012,extracted_from_report,medium,calibration_only,yes,Issues: sota_prose_consistency,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,draft,no,BA_012_01,yes,sota_prose_consistency,Level_2_historical
H,U6,S12,writer_QA,writer_prose_quality,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,NB_accepted,CER NB_accepted - PROJECT_016,accepted_revision_derived,medium,calibration_only,yes,Clean prose,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,NB_accepted,yes,BA_016_01,no,,Level_2_historical
H,U6,S12,writer_QA,writer_prose_quality,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,NB_round1,CER NB_round1 - PROJECT_016,extracted_from_report,medium,calibration_only,yes,Issues: denominator_misuse,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,NB_round1,no,BA_016_01,yes,denominator_misuse,Level_2_historical
H,U6,S12,writer_QA,writer_prose_quality,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_019,Project 019,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,NB_accepted,CER NB_accepted - PROJECT_019,accepted_revision_derived,medium,calibration_only,yes,Clean prose,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,NB_accepted,yes,BA_019_01,no,,Level_2_historical
H,U6,S12,writer_QA,writer_prose_quality,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_019,Project 019,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,submitted,CER submitted - PROJECT_019,extracted_from_report,medium,calibration_only,yes,Issues: unsupported_positive_claim,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,submitted,no,BA_019_01,yes,unsupported_positive_claim,Level_2_historical
H,U6,S12,writer_QA,writer_prose_quality,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,NB_accepted,CER NB_accepted - PROJECT_032,accepted_revision_derived,medium,calibration_only,yes,Clean prose,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,NB_accepted,yes,BA_032_01,no,,Level_2_historical
H,U6,S12,writer_QA,writer_prose_quality,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,NB_round1,CER NB_round1 - PROJECT_032,extracted_from_report,medium,calibration_only,yes,"Issues: conclusion_overstatement,missing_benchmark_limitation",/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,NB_round1,no,BA_032_01,yes,"conclusion_overstatement,missing_benchmark_limitation",Level_2_historical
H,U6,S12,writer_QA,writer_prose_quality,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,NB_round2,CER NB_round2 - PROJECT_032,extracted_from_report,medium,calibration_only,yes,Issues: pmcf_overclaim,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,NB_round2,no,BA_032_01,yes,pmcf_overclaim,Level_2_historical
H,U6,S12,writer_QA,writer_prose_quality,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_024,Project 024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*/CER/*,NB_accepted,CER NB_accepted - PROJECT_024,accepted_revision_derived,medium,calibration_only,yes,Clean prose,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*/CER/*,NB_accepted,yes,BA_024_01,no,,Level_2_historical
