extract_id,source_csv,source_row_id,target_batch,target_P0,target_route,target_artifact,absorption_type,closure_level_supported,can_train_rules,can_generate_fixture,can_generate_semantic_test,can_validate_holdout,can_generate_writer_constraint,can_generate_NB_explanation,writer_allowed,locked_boundary,source_asset_path,notes
V4I1_0001,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_1,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0002,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_2,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0003,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_3,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0004,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_4,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0005,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_5,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0006,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_6,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0007,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_7,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0008,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_8,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0009,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_9,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
V4I1_0010,I1_STRATEGY_ROUTE_EXAMPLES.csv,ROW_10,I,P0-1,cross_route,strategy_route_decision,decision_table,HEURISTIC_ONLY,yes,yes,yes,yes,yes,yes,yes,calibration_only,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/batch_I_strategy_router/I1_STRATEGY_ROUTE_EXAMPLES.csv,Strategy route decision table
