target_batch,target_capability,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_table_or_figure,source_quote_or_cell,evidence_level,confidence,locked_status,writer_access_allowed,absorption_type,closure_level_supported,notes,file_type,table_id_or_title,page_or_section,table_title,table_footnote,contains_clinical_data,contains_statistical_values,contains_endpoint_data,contains_AE_data,contains_denominator_context,contains_subgroup_context,contains_followup_context,extraction_priority,expected_parser,manual_verification_needed
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_076__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_001,first_5_pages,CER_076__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,no,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_291__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_002,first_5_pages,CER_291__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,yes,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_023__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_003,first_5_pages,CER_023__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,no,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_238__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_004,first_5_pages,CER_238__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,no,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_937__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_005,first_5_pages,CER_937__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,yes,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_407__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_006,first_5_pages,CER_407__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,no,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_873__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_007,first_5_pages,CER_873__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,yes,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_277__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_008,first_5_pages,CER_277__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,no,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_032__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_009,first_5_pages,CER_032__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,no,no,no,no,high,pdfplumber,yes
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_1223__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,,,extracted_from_report,medium,calibration_only,yes,fixture,HEURISTIC_ONLY,,PDF,T_003_010,first_5_pages,CER_1223__CER Annex 1 Literature Search Protocol and Report-SOTA.pdf,,yes,no,no,yes,no,no,no,high,pdfplumber,yes
