target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,evidence_gap_description,gap_severity,PMCF_proposed,PMCF_acceptable,clinical_investigation_needed,why_PMCF_is_or_is_not_acceptable,unsupported_core_claim_flag,human_gate_required,final_disposition
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,decision_table,HEURISTIC_ONLY,PROJECT_019,Project 019,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,PMCF,Gap: Long-term recurrence data (>12 months) | PMCF acceptable: yes,extracted_from_report,medium,calibration_only,yes,Disposition: PMCF_acceptable,Long-term recurrence data (>12 months),moderate,yes,yes,no,PMCF registry can collect recurrence data post-market,no,no,PMCF_acceptable
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,decision_table,HEURISTIC_ONLY,PROJECT_022,Project 022,special_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_022_*/CER/*,PMCF,Gap: 5-year valve durability | PMCF acceptable: yes,extracted_from_report,medium,calibration_only,yes,Disposition: PMCF_mandatory,5-year valve durability,high,yes,yes,no,Long-term follow-up requires PMCF registry; pre-market CI cannot cover 5yr,no,yes,PMCF_mandatory
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,decision_table,HEURISTIC_ONLY,PROJECT_023,Project 023,special_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_*/CER/*,PMCF,Gap: Weaning success beyond 30 days | PMCF acceptable: yes,extracted_from_report,medium,calibration_only,yes,Disposition: PMCF_mandatory,Weaning success beyond 30 days,high,yes,yes,no,Long-term outcomes only observable post-market,no,yes,PMCF_mandatory
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,decision_table,HEURISTIC_ONLY,PROJECT_025,Project 025,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_025_*/CER/*,PMCF,Gap: Efficacy in target population | PMCF acceptable: no,extracted_from_report,medium,calibration_only,yes,Disposition: CI_required_PMCF_insufficient,Efficacy in target population,very_high,yes,no,yes,Core efficacy claim unsupported by current data; PMCF alone cannot establish efficacy,yes,yes,CI_required_PMCF_insufficient
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,decision_table,HEURISTIC_ONLY,PROJECT_032,Project 032,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,PMCF,Gap: Long-term skin reaction (12-24 months) | PMCF acceptable: yes,extracted_from_report,medium,calibration_only,yes,Disposition: PMCF_acceptable,Long-term skin reaction (12-24 months),low,yes,yes,no,Low-severity ADR; PMCF post-market surveillance sufficient,no,no,PMCF_acceptable
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,decision_table,HEURISTIC_ONLY,PROJECT_033,Project 033,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*/CER/*,PMCF,Gap: Sensor accuracy drift >6 months | PMCF acceptable: yes,extracted_from_report,medium,calibration_only,yes,Disposition: PMCF_acceptable_with_limitation,Sensor accuracy drift >6 months,moderate,yes,yes,no,Accuracy drift can be monitored through PMCF registry,no,yes,PMCF_acceptable_with_limitation
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,decision_table,HEURISTIC_ONLY,PROJECT_011,Project 011,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*/CER/*,PMCF,Gap: Legacy data transfer to MDR | PMCF acceptable: yes,extracted_from_report,medium,calibration_only,yes,Disposition: PMCF_enhanced,Legacy data transfer to MDR,moderate,yes,yes,no,Enhanced PMCF addresses MDR GSPR gaps from legacy transition,no,no,PMCF_enhanced
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,decision_table,HEURISTIC_ONLY,PROJECT_030,Project 030,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*/CER/*,PMCF,Gap: Hemodynamic durability 2-5 years | PMCF acceptable: yes,extracted_from_report,medium,calibration_only,yes,Disposition: PMCF_mandatory,Hemodynamic durability 2-5 years,high,yes,yes,no,Durability data requires long-term PMCF follow-up,no,yes,PMCF_mandatory
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,decision_table,DERIVED_VALIDATION,PROJECT_037,Project 037,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*/CER/*,PMCF,Gap: Restenosis rate at 3-5 years | PMCF acceptable: yes,extracted_from_report,medium,holdout_only,no,Disposition: PMCF_acceptable,Restenosis rate at 3-5 years,moderate,yes,yes,no,Long-term patency data best collected through PMCF,no,no,PMCF_acceptable
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,decision_table,HEURISTIC_ONLY,PROJECT_002,Project 002,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/CER/*,PMCF,Gap: MACE reduction in diabetic subgroup | PMCF acceptable: yes,extracted_from_report,medium,calibration_only,yes,Disposition: PMCF_acceptable,MACE reduction in diabetic subgroup,moderate,yes,yes,no,Subgroup analysis feasible through PMCF registry,no,yes,PMCF_acceptable
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,decision_table,DERIVED_VALIDATION,PROJECT_034,Project 034,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*/CER/*,PMCF,Gap:  Pediatric use safety | PMCF acceptable: no,extracted_from_report,medium,holdout_only,no,Disposition: CI_required_for_subgroup, Pediatric use safety,moderate,yes,no,yes,Pediatric population not represented in adult studies; PMCF cannot establish pediatric safety,yes,yes,CI_required_for_subgroup
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,decision_table,HEURISTIC_ONLY,PROJECT_003,Project 003,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_*/CER/*,PMCF,Gap: Real-world effectiveness | PMCF acceptable: yes,extracted_from_report,medium,calibration_only,yes,Disposition: PMCF_acceptable,Real-world effectiveness,low,yes,yes,no,Real-world data collection through PMCF registry,no,no,PMCF_acceptable
