target_batch,target_upgrade,target_stage,target_dc,score_area,dataset_role,absorption_type,closure_level_supported,project_id,project_name,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,file_path,file_type,table_or_figure_id,page_or_section,table_title,figure_title,contains_clinical_data,contains_statistical_values,contains_endpoint_data,contains_AE_data,extraction_priority,expected_parser
E,U1,S5,DC-4,table_figure_extraction,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,Table 1,Candidate Table 1: Baseline characteristics,filename_only,medium,calibration_only,yes,,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,PDF/DOCX,Table 1,Results,Baseline characteristics,,yes,yes,yes,no,high,liteparse
E,U1,S5,DC-4,table_figure_extraction,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,Table 2,Candidate Table 2: Treatment outcomes,filename_only,medium,calibration_only,yes,,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,PDF/DOCX,Table 2,Results,Treatment outcomes,,yes,yes,yes,yes,high,liteparse
E,U1,S5,DC-4,table_figure_extraction,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,Table 1,Candidate Table 1: Patient demographics,filename_only,medium,calibration_only,yes,,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,PDF/DOCX,Table 1,Results,Patient demographics,,yes,yes,yes,no,high,liteparse
E,U1,S5,DC-4,table_figure_extraction,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_019,Project 019,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,Table 3,Candidate Table 3: Efficacy results by subgroup,filename_only,medium,calibration_only,yes,,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,PDF/DOCX,Table 3,Results,Efficacy results by subgroup,,yes,yes,yes,no,high,text_table_candidate
E,U1,S5,DC-4,table_figure_extraction,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Table 1,Candidate Table 1: CGM accuracy metrics,filename_only,medium,calibration_only,yes,,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,PDF/DOCX,Table 1,Results,CGM accuracy metrics,,yes,yes,yes,no,high,liteparse
E,U1,S5,DC-4,table_figure_extraction,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Figure 2,Candidate Figure 2: Glucose profile over time,filename_only,medium,calibration_only,yes,,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,PDF/DOCX,Figure 2,Results,,Glucose profile over time,yes,yes,yes,no,medium,manual_review
E,U1,S5,DC-4,table_figure_extraction,stress,validation_asset,HEURISTIC_ONLY,PROJECT_004,Project 004,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/CER/*,Table 1,Candidate Table 1: AED performance metrics,filename_only,medium,calibration_only,yes,,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/CER/*,PDF/DOCX,Table 1,Results,AED performance metrics,,yes,yes,yes,no,medium,text_table_candidate
E,U1,S5,DC-4,table_figure_extraction,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_024,Project 024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*/CER/*,Table 1,Candidate Table 1: Procedural outcomes,filename_only,medium,calibration_only,yes,,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*/CER/*,PDF/DOCX,Table 1,Results,Procedural outcomes,,yes,yes,yes,yes,high,liteparse
E,U1,S5,DC-4,table_figure_extraction,calibration,validation_asset,HEURISTIC_ONLY,PROJECT_030,Project 030,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*/CER/*,Table 2,Candidate Table 2: Hemodynamic data,filename_only,medium,calibration_only,yes,,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*/CER/*,PDF/DOCX,Table 2,Results,Hemodynamic data,,yes,yes,yes,no,medium,text_table_candidate
E,U1,S5,DC-4,table_figure_extraction,holdout,validation_asset,DERIVED_VALIDATION,PROJECT_034,Project 034,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*/CER/*,Table 1,Candidate Table 1: Patient characteristics,filename_only,medium,holdout_only,no,,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*/CER/*,PDF/DOCX,Table 1,Results,Patient characteristics,,yes,yes,yes,no,high,liteparse
