target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,strategy_route,CER_argument_structure,required_evidence,acceptable_evidence,unacceptable_shortcuts,PMCF_role,BR_GSPR_focus,Writer_tone,limitation_language,NB_likely_questions,example_project_source
K,P0-4,WET,CER_blueprint,route_specific_blueprint,writer_constraint,HEURISTIC_ONLY,PROJECT_004,Project 004,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/CER/*,CER Structure,Route: WET | Structure: 1. WET justification 2. Technology description 3. Clinical e...,extracted_from_report,medium,calibration_only,yes,NB likely questions: How is WET criteria met? What is market history?...,WET,1. WET justification 2. Technology description 3. Clinical experience summary 4. Equivalence/WET evidence 5. Risk management 6. PMCF,"WET criteria documentation, market history, post-market data","Clinical experience reports, registry data, equivalence data","Skipping WET justification, insufficient market history",Standard PMCF for ongoing surveillance,Focus on established safety profile,Confident but referenced,Acknowledge limitations of WET route for novel claims,How is WET criteria met? What is market history?,PROJECT_004
K,P0-4,WET,CER_blueprint,route_specific_blueprint,writer_constraint,HEURISTIC_ONLY,PROJECT_007,Project 007,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_007_*/CER/*,CER Structure,Route: WET | Structure: 1. WET status 2. Design principles 3. Clinical experience 4....,extracted_from_report,medium,calibration_only,yes,NB likely questions: Why is this WET and not equivalence?...,WET,1. WET status 2. Design principles 3. Clinical experience 4. Risk management 5. PMCF,"Long market history, established design principles, clinical experience","Literature on similar devices, post-market data","No WET justification, insufficient clinical experience",Standard PMCF,Established benefit-risk,"Factual, referenced",Limit to well-established indications,Why is this WET and not equivalence?,PROJECT_007
K,P0-4,legacy,CER_blueprint,route_specific_blueprint,writer_constraint,HEURISTIC_ONLY,PROJECT_011,Project 011,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*/CER/*,CER Structure,Route: legacy | Structure: 1. Legacy data summary 2. Gap analysis 3. MDR transition jus...,extracted_from_report,medium,calibration_only,yes,NB likely questions: What gaps exist? How is PMCF enhanced?...,legacy,1. Legacy data summary 2. Gap analysis 3. MDR transition justification 4. Updated risk management 5. PMCF enhancement,"Pre-MDR clinical data, gap analysis, updated risk management","Legacy clinical studies, post-market data, updated literature","No gap analysis, insufficient legacy data",Enhanced PMCF for MDR gaps,Transition risk assessment,"Cautious, documented",Clearly state legacy data limitations,What gaps exist? How is PMCF enhanced?,PROJECT_011
K,P0-4,own_clinical_data,CER_blueprint,route_specific_blueprint,writer_constraint,HEURISTIC_ONLY,PROJECT_002,Project 002,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/CER/*,CER Structure,Route: own_clinical_data | Structure: 1. Clinical investigation design 2. Results 3. Statistical a...,extracted_from_report,medium,calibration_only,yes,NB likely questions: CI design? Control group? Power calculation?...,own_clinical_data,1. Clinical investigation design 2. Results 3. Statistical analysis 4. Risk management 5. PMCF,"Clinical investigation protocol, results, statistical analysis","RCT, prospective cohort, registry data","Single-arm study, insufficient follow-up, no control",Standard PMCF for long-term outcomes,CI-derived benefit-risk,"Evidence-based, cautious",Acknowledge CI limitations and ongoing PMCF,CI design? Control group? Power calculation?,PROJECT_002
K,P0-4,own_clinical_data,CER_blueprint,route_specific_blueprint,writer_constraint,HEURISTIC_ONLY,PROJECT_012,Project 012,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,CER Structure,Route: own_clinical_data | Structure: 1. Study design 2. Patient characteristics 3. Efficacy outco...,extracted_from_report,medium,calibration_only,yes,NB likely questions: Study design? Follow-up duration? Control group?...,own_clinical_data,1. Study design 2. Patient characteristics 3. Efficacy outcomes 4. Safety outcomes 5. Risk management 6. PMCF,"Prospective study data, efficacy endpoints, safety data","Prospective cohort, case-control, registry","Retrospective only, no control, short follow-up",PMCF for recurrence and long-term safety,Evidence-based benefit-risk,"Clinical, evidence-based",State follow-up limitations,Study design? Follow-up duration? Control group?,PROJECT_012
K,P0-4,equivalence,CER_blueprint,route_specific_blueprint,writer_constraint,HEURISTIC_ONLY,PROJECT_006,Project 006,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_006_*/CER/*,CER Structure,Route: equivalence | Structure: 1. Subject device description 2. Equivalent device descripti...,extracted_from_report,medium,calibration_only,yes,NB likely questions: All 3 dimensions addressed? Data access available?...,equivalence,1. Subject device description 2. Equivalent device description 3. 3-dim comparison 4. Clinical data from equivalent device 5. Risk management 6. PMCF,"3-dim equivalence demonstration, data_access_statement","Equivalent device clinical data, published literature","Missing 3-dim comparison, no data_access_statement",PMCF for residual uncertainty,Equivalent device benefit-risk with limitations,"Analytical, comparative",Mandatory equivalence limitations,All 3 dimensions addressed? Data access available?,PROJECT_006
K,P0-4,equivalence,CER_blueprint,route_specific_blueprint,writer_constraint,HEURISTIC_ONLY,PROJECT_032,Project 032,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,CER Structure,Route: equivalence | Structure: 1. Device comparison 2. Equivalence assessment 3. Data acces...,extracted_from_report,medium,calibration_only,yes,NB likely questions: Why is equivalence partial? What data is missing?...,equivalence,1. Device comparison 2. Equivalence assessment 3. Data access 4. Limitations 5. PMCF,"Full 3-dim equivalence, data access agreement","Equivalent device studies, literature","Partial equivalence, missing data access",Enhanced PMCF for equivalence gaps,Cautious benefit-risk with limitations,"Cautious, limited",Strong limitation language required,Why is equivalence partial? What data is missing?,PROJECT_032
K,P0-4,literature_primary,CER_blueprint,route_specific_blueprint,writer_constraint,HEURISTIC_ONLY,PROJECT_026,Project 026,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_026_*/CER/*,CER Structure,Route: literature_primary | Structure: 1. Literature search strategy 2. Literature appraisal 3. Evi...,extracted_from_report,medium,calibration_only,yes,NB likely questions: Search strategy? Inclusion criteria? Quality asses...,literature_primary,1. Literature search strategy 2. Literature appraisal 3. Evidence synthesis 4. SOTA 5. Risk management 6. PMCF,"Comprehensive literature search, quality appraisal","Published clinical studies, systematic reviews","Incomplete search, poor appraisal, cherry-picking",PMCF for literature gaps,Literature-derived benefit-risk,"Systematic, objective",Acknowledge literature limitations,Search strategy? Inclusion criteria? Quality assessment?,PROJECT_026
K,P0-4,insufficient_evidence,CER_blueprint,route_specific_blueprint,writer_constraint,HEURISTIC_ONLY,PROJECT_025,Project 025,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_025_*/CER/*,CER Structure,Route: insufficient_evidence | Structure: 1. Current evidence summary 2. Gap analysis 3. PMCF plan 4. ...,extracted_from_report,medium,calibration_only,yes,NB likely questions: How will gaps be closed? Is PMCF adequate? CI need...,insufficient_evidence,1. Current evidence summary 2. Gap analysis 3. PMCF plan 4. Risk management 5. Limitations 6. CI consideration,"Honest gap assessment, proportionate PMCF, CI if needed","Limited own data, literature, registry data","Overstating evidence, insufficient PMCF, no CI plan",Extensive PMCF mandatory,Conservative benefit-risk with uncertainty,"Honest, conservative",Strong limitation and uncertainty language,How will gaps be closed? Is PMCF adequate? CI needed?,PROJECT_025
K,P0-4,own_clinical_data,CER_blueprint,route_specific_blueprint,writer_constraint,HEURISTIC_ONLY,PROJECT_022,Project 022,special_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_022_*/CER/*,CER Structure,Route: own_clinical_data | Structure: 1. Extensive CI design 2. Safety data 3. Efficacy outcomes 4...,extracted_from_report,medium,calibration_only,yes,NB likely questions: CI design? Safety monitoring? Long-term plan?...,own_clinical_data,1. Extensive CI design 2. Safety data 3. Efficacy outcomes 4. Risk management 5. Enhanced PMCF,"Robust CI, extensive safety monitoring, long-term follow-up","RCT, large cohort, international registry","Insufficient sample size, short follow-up, no safety data",Enhanced PMCF mandatory,"Conservative, safety-focused","Rigorous, safety-first",Extensive limitations and ongoing monitoring,CI design? Safety monitoring? Long-term plan?,PROJECT_022
