target_batch,target_capability,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_table_or_figure,source_quote_or_cell,evidence_level,confidence,locked_status,writer_access_allowed,absorption_type,closure_level_supported,notes,source_table_id,row_label,column_label,cell_value,interpreted_fact,endpoint,study_arm,population_label,subgroup_label,numerator,denominator,timepoint,unit,verification_status
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_348__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_003_016,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE,,unknown,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_498__[20241205] Annex 1 Literature Search Protocol and Report-SOTA.docx,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_003_019,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_423__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_003_020,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_933__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_003_021,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE,,unknown,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_1219__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_003_023,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE,,unknown,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_542__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_003_024,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_419__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_003_026,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_690__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_003_028,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_003_上海谱创,003 上海谱创,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_上海谱创/01_CER_SOURCE_PACKAGE/CER/CER_1003__CER Annex 1 Literature Search Protocol and Report-SOTA.docx,,,p.,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_003_030,auto_extracted_row,auto_extracted_col,p.,p_value,safety/AE,,patients,,,,,,auto_extracted_unverified
N,table_fulltext_extraction,PROJECT_016_南京普爱,016 南京普爱,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_南京普爱/01_CER_SOURCE_PACKAGE/CER/CER_379__SOTA-P1-32.pdf,,,P<0.05,extracted_from_report,medium,calibration_only,yes,gold_validation,HEURISTIC_ONLY,,T_016_032,auto_extracted_row,auto_extracted_col,P<0.05,p_value,safety/AE; complication; procedure_time,,patients,,,,,,auto_extracted_unverified
