asset_id,asset_name,target_batch,target_capability,status,source_path,evidence_level,dataset_role,blocks_90_score,caps_score_if_missing,ready_for_claude_code,notes
M1,M1_CLINICAL_FACT_SCHEMA_SEED.csv,M,clinical_fact_registry_v3,PARTIAL,batch_M_data_model/M1_CLINICAL_FACT_SCHEMA_SEED.csv,extracted_from_report,calibration,yes,low,partial,"379 rows, closure=HEURISTIC_ONLY"
N1,N1_TABLE_EXTRACTION_CANDIDATES.csv,N,table_fulltext_extraction,PARTIAL,batch_N_table_fulltext/N1_TABLE_EXTRACTION_CANDIDATES.csv,extracted_from_report,calibration,yes,low,partial,"431 rows, closure=HEURISTIC_ONLY"
N2,N2_TABLE_DERIVED_FACTS_GOLD.csv,N,table_fulltext_extraction,PARTIAL,batch_N_table_fulltext/N2_TABLE_DERIVED_FACTS_GOLD.csv,extracted_from_report,calibration,yes,low,partial,"308 rows, closure=HEURISTIC_ONLY"
N3,N3_FIGURE_KM_SURVIVAL_CANDIDATES.csv,N,table_fulltext_extraction,NOT_FOUND,batch_N_table_fulltext/N3_FIGURE_KM_SURVIVAL_CANDIDATES.csv,extracted_from_report,calibration,no,medium,no,"2 rows, closure=HEURISTIC_ONLY"
O1,O1_STATISTICAL_FACT_GOLD.csv,O,statistical_parser_v3,PARTIAL,batch_O_statistical_parser/O1_STATISTICAL_FACT_GOLD.csv,extracted_from_report,calibration,yes,low,partial,"560 rows, closure=HEURISTIC_ONLY"
O2,O2_INCOMPLETE_FACT_NEGATIVE_CASES.csv,O,statistical_parser_v3,PARTIAL,batch_O_statistical_parser/O2_INCOMPLETE_FACT_NEGATIVE_CASES.csv,extracted_from_report,calibration,no,low,partial,"30 rows, closure=HEURISTIC_ONLY"
P1,P1_DENOMINATOR_SUBGROUP_ARM_GOLD.csv,P,denominator_subgroup_arm_resolver,PARTIAL,batch_P_denominator_subgroup_arm/P1_DENOMINATOR_SUBGROUP_ARM_GOLD.csv,extracted_from_report,calibration,yes,low,partial,"60 rows, closure=HEURISTIC_ONLY"
Q1,Q1_CLINICAL_FACT_GOLD_SET_V1.csv,Q,clinical_fact_gold_validation,PARTIAL,batch_Q_gold_validation/Q1_CLINICAL_FACT_GOLD_SET_V1.csv,extracted_from_report,calibration,yes,low,partial,"200 rows, closure=HEURISTIC_ONLY"
Q2,Q2_BENCHMARK_CLAIM_SUPPORT_ELIGIBILITY.csv,Q,clinical_fact_gold_validation,PARTIAL,batch_Q_gold_validation/Q2_BENCHMARK_CLAIM_SUPPORT_ELIGIBILITY.csv,extracted_from_report,calibration,no,low,partial,"100 rows, closure=HEURISTIC_ONLY"
Q3,Q3_VALIDATION_PROJECT_CANDIDATES.csv,Q,clinical_fact_gold_validation,READY,batch_Q_gold_validation/Q3_VALIDATION_PROJECT_CANDIDATES.csv,extracted_from_report,calibration,no,low,partial,"15 rows, closure=HEURISTIC_ONLY"
R1,R1_CLINICAL_DATA_EXTRACTION_REGULATORY_RULE_ANCHORS.csv,R,regulatory_rule_anchor,PARTIAL,regulatory/R1_CLINICAL_DATA_EXTRACTION_REGULATORY_RULE_ANCHORS.csv,regulatory_clause,calibration,no,low,partial,"30 rows, closure=HEURISTIC_ONLY"
INV,CDE90_PROJECT_SOURCE_INVENTORY.csv,cross_batch,clinical_fact_registry_v3,READY,CDE90_PROJECT_SOURCE_INVENTORY.csv,filename_only,calibration,no,low,yes,44 projects scanned
