target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,document_name,file_path,clause_or_section,regulatory_topic,regulatory_requirement,decision_logic_candidate,route_impact,evidence_burden_impact,PMCF_impact,clinical_investigation_impact,writer_constraint_candidate,NB_explanation_candidate,source_quote_or_anchor,evidence_level,confidence,notes
I,P0-1,WET,strategy_router,strategy_route_decision,rule,FULLY_CLOSED,MDR_2017_745,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_2017_745.pdf,Article 61(6),WET exemption,No clinical data required for well-established technology if equivalence demonstrated,IF WET AND equivalence THEN reduced_evidence,Enables WET route with minimal clinical data,Very low burden,Standard PMCF still required,No CI needed,Must explicitly state WET justification,Explain why WET criteria met,Well-established technologies are exempt from clinical investigation if equivalence demonstrated,regulatory_clause,high,Maps to P0-1 I
I,P0-1,legacy,strategy_router,strategy_route_decision,rule,FULLY_CLOSED,MDR_2017_745,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_2017_745.pdf,Annex XIV Part A(3),Legacy device data,Data from pre-MDR certified devices may be acceptable with justification,IF legacy AND pre-market data THEN acceptable with gap analysis,Enables legacy route with gap closure,Moderate burden for gap analysis,Enhanced PMCF may be required,CI may be needed for gaps,Must document legacy data lineage and gap,Explain legacy data validity and transition,Clinical data from devices previously certified under Directives may be acceptable,regulatory_clause,high,Maps to P0-1 I
I,P0-1,equivalence,strategy_router,strategy_route_decision,rule,FULLY_CLOSED,MDCG_2020_5,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDCG_2020_5_EN.pdf,Section 3,Equivalence criteria,"Technical, biological, and clinical equivalence must be demonstrated for all three dimensions",IF all_3_dim_equivalent THEN equivalence_route ELSE non_equivalence_path,Determines if equivalence route available,Low if equivalence proven; high if not,PMCF for residual uncertainty,No CI if full equivalence; CI if partial,Must address all 3 dimensions explicitly,Explain equivalence assessment methodology,"The demonstration of equivalence must cover technical, biological and clinical characteristics",regulatory_clause,high,Maps to P0-1 I
I,P0-1,own_clinical_data,strategy_router,strategy_route_decision,rule,FULLY_CLOSED,MDR_2017_745,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_2017_745.pdf,Annex XIV Part A(1),Clinical data requirements,Clinical evaluation shall be based on clinical data from clinical investigations or other studies,IF no equivalence AND not WET THEN own clinical data required,Default route for novel devices,High burden,Standard PMCF required,Clinical investigation typically required,Must present own clinical data as primary evidence,Explain clinical investigation design and results,Clinical evaluation shall be based on clinical data providing sufficient clinical evidence,regulatory_clause,high,Maps to P0-1 I
I,P0-1,literature_primary,strategy_router,strategy_route_decision,rule,FULLY_CLOSED,MDCG_2020_6,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDCG_2020_6_EN.pdf,Section 4,Literature as primary evidence,Published literature alone may be sufficient for certain device types with established technology,IF literature-sufficient device AND no novel claims THEN literature-primary acceptable,Enables literature-only route for low-risk established devices,Low to moderate,Standard PMCF,No CI needed,Must demonstrate comprehensive literature search,Explain why literature alone is sufficient,Published literature alone may provide sufficient clinical evidence for well-established devices,regulatory_clause,high,Maps to P0-1 I
I,P0-1,insufficient_evidence,strategy_router,strategy_route_decision,rule,FULLY_CLOSED,MDR_2017_745,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_2017_745.pdf,Annex XIV Part B,PMCF for evidence gaps,PMCF shall address gaps in clinical evidence identified during clinical evaluation,IF evidence_gap THEN PMCF_plan AND limitation_statement,PMCF as gap closure mechanism,Current evidence may be insufficient,Critical - must be proportionate to gap,CI may be required if PMCF insufficient,Must clearly state limitations and PMCF plan,Explain gap rationale and PMCF adequacy,Post-market clinical follow-up shall address any gaps in the clinical evidence,regulatory_clause,high,Maps to P0-1 I
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,FULLY_CLOSED,MDCG_2020_6,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDCG_2020_6_EN.pdf,Section 5,Evidence sufficiency,Level of clinical evidence shall be proportionate to device risk and novelty,IF high_risk OR high_novelty THEN high_evidence_burden,All routes,Directly determines evidence burden,Higher risk = more PMCF,Higher risk = more likely CI needed,Must align evidence volume with risk class,Justify evidence level against risk profile,The level of clinical evidence shall be appropriate to the characteristics of the device and its intended purpose,regulatory_clause,high,Maps to P0-2 I
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,rule,FULLY_CLOSED,MEDDEV_2.7_1_Rev4,/Users/winstonwei/CER-RAG/Source/EU MDCG/MEDDEV_2.7_1_Rev4.pdf,Section 5.2,Literature appraisal,"Literature must be relevant, of sufficient quality, and weighted appropriately",IF relevant AND quality_sufficient THEN usable ELSE excluded,All literature-dependent routes,Determines effective evidence volume,N/A,N/A,Must document literature appraisal methodology,Explain literature inclusion/exclusion criteria,"Published literature must be identified, appraised and analysed in a systematic manner",regulatory_clause,high,Maps to P0-3 J
J,P0-3,equivalence,literature_intelligence,literature_role_classifier,rule,FULLY_CLOSED,MDCG_2020_5,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDCG_2020_5_EN.pdf,Section 4,Equivalent device evidence,Clinical data from equivalent device may support subject device if 3-dim equivalence proven,IF equivalent AND data_access_statement THEN usable_for_support,Equivalence route literature usage,Reduces own data burden,PMCF for residual uncertainty,Reduced CI need,Must include data_access_statement and limitation,Explain equivalent evidence usage with limitations,Clinical data from an equivalent device may be used to demonstrate conformity,regulatory_clause,high,Maps to P0-3 J
G,P0-2,cross_route,evidence_burden,BR_GSPR_rationale,rule,FULLY_CLOSED,MDR_2017_745,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_2017_745.pdf,Annex I GSPR,General Safety and Performance,"GSPR 1-3 require clinical evidence for performance, safety, and benefit-risk",IF clinical_claim THEN GSPR_evidence_mapping,All routes must address GSPR,GSPR drives minimum evidence requirements,PMCF supports ongoing GSPR compliance,CI may be needed for GSPR demonstration,Must map claims to GSPR clauses,Explain GSPR compliance evidence,Devices shall achieve the performance intended and be designed to ensure safety and benefit-risk acceptability,regulatory_clause,high,Maps to P0-2 G
I,P0-1,PMCF_gap_closure,strategy_router,PMCF_decision,rule,FULLY_CLOSED,MDR_2017_745,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_2017_745.pdf,Article 74-77,PMCF requirements,PMCF required for all devices; enhanced for high-risk and innovative devices,IF Class_III OR implantable OR innovation THEN enhanced_PMCF,PMCF mandatory regardless of route,Ongoing evidence burden,Core requirement,PMCF may include registry studies,Must include proportionate PMCF plan,Explain PMCF rationale and methodology,Post-market clinical follow-up shall be conducted for all devices,regulatory_clause,high,Maps to P0-1 I
I,P0-1,clinical_investigation_needed,strategy_router,clinical_investigation_decision,rule,FULLY_CLOSED,MDR_2017_745,/Users/winstonwei/CER-RAG/Source/EU MDCG/MDR_2017_745.pdf,Article 62,Clinical investigation requirement,Clinical investigation required unless justified by existing data or WET/equivalence,IF NOT(WET OR equivalence OR sufficient_literature) THEN CI_required,Determines if CI needed,Highest burden,Complements CI,Core requirement when applicable,Must justify if CI waived,Explain CI justification or design,Clinical investigations shall be conducted unless sufficient clinical evidence exists,regulatory_clause,high,Maps to P0-1 I
L,P0-5,cross_route,NB_explainability,NB_explainability_packet,rule,FULLY_CLOSED,CEAR_Template,/Users/winstonwei/CER-RAG/Source/EU MDCG/CEAR_Template.pdf,Full document,NB assessment criteria,"NB assesses strategy, evidence sufficiency, GSPR compliance, and risk management",NB evaluates all P0 capabilities,All routes,NB determines sufficiency,NB evaluates PMCF,NB evaluates CI design,Must anticipate NB questions,Explain rationale for all key decisions,"NB assessment covers clinical evaluation strategy, evidence, and conclusions",regulatory_clause,high,Maps to P0-5 L
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,rule,FULLY_CLOSED,MEDDEV_2.7_1_Rev4,/Users/winstonwei/CER-RAG/Source/EU MDCG/MEDDEV_2.7_1_Rev4.pdf,Section 8,State of the art,SOTA must demonstrate awareness of current accepted practice and available alternatives,SOTA informs benchmark and claim justification,All routes need SOTA,SOTA drives comparator selection,SOTA evolves over time,SOTA informs CI design,Must describe current practice and alternatives,Explain SOTA methodology and currency,State of the art includes current accepted practice and available alternatives,regulatory_clause,high,Maps to P0-3 J
