target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,product_context,WET_status,legacy_status,own_clinical_data_status,equivalence_status,literature_primary_status,innovation_status,insufficient_evidence_status,selected_strategy_route,route_rationale,alternative_routes_considered,why_not_other_routes,PMCF_need,clinical_investigation_need,writer_conclusion_constraint
I,P0-1,WET,strategy_router,strategy_route_decision,decision_table,HEURISTIC_ONLY,PROJECT_004,Project 004,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/CER/*,Strategy,Route: WET | Rationale: AED is well-established technology with long clinical history,extracted_from_report,medium,calibration_only,yes,"Alternative: equivalence, own_data",AED for public access,yes,no,no,no,no,no,no,WET,AED is well-established technology with long clinical history,"equivalence, own_data",No need - WET criteria fully met per MDR Article 61(6),yes,no,Conclusion must explicitly reference WET justification
I,P0-1,WET,strategy_router,strategy_route_decision,decision_table,HEURISTIC_ONLY,PROJECT_007,Project 007,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_007_*/CER/*,Strategy,Route: WET | Rationale: Standard instrument with established design principles,extracted_from_report,medium,calibration_only,yes,Alternative: equivalence,Standard medical instrument,yes,no,no,no,no,no,no,WET,Standard instrument with established design principles,equivalence,WET status clear from long market history,yes,no,Reference established technology status
I,P0-1,WET,strategy_router,strategy_route_decision,decision_table,HEURISTIC_ONLY,PROJECT_016,Project 016,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,Strategy,Route: WET | Rationale: Hemostasis mechanism well-established; own data supplements,extracted_from_report,medium,calibration_only,yes,Alternative: own_data,Hemostasis device,yes,no,limited,no,no,no,no,WET,Hemostasis mechanism well-established; own data supplements,own_data,WET primary with own data as confirmation,yes,no,Emphasize well-established hemostasis principles
I,P0-1,WET,strategy_router,strategy_route_decision,decision_table,DERIVED_VALIDATION,PROJECT_041,Project 041,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_041_*/CER/*,Strategy,Route: WET | Rationale: Standard surgical instrument design,extracted_from_report,medium,holdout_only,no,Alternative: equivalence,Surgical instrument,yes,no,no,no,no,no,no,WET,Standard surgical instrument design,equivalence,WET more appropriate than equivalence for basic instrument,yes,no,State WET justification clearly
I,P0-1,legacy,strategy_router,strategy_route_decision,decision_table,HEURISTIC_ONLY,PROJECT_011,Project 011,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*/CER/*,Strategy,Route: legacy | Rationale: Device line has pre-MDR certification with clinical history,extracted_from_report,medium,calibration_only,yes,"Alternative: equivalence, own_data",Orthopaedic implant,no,yes,yes,yes,no,no,no,legacy,Device line has pre-MDR certification with clinical history,"equivalence, own_data",Legacy route leverages existing certification data,yes,no,Document legacy data lineage and gap analysis
I,P0-1,legacy,strategy_router,strategy_route_decision,decision_table,HEURISTIC_ONLY,PROJECT_027,Project 027,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_027_*/CER/*,Strategy,Route: legacy | Rationale: 遗留项目 with pre-existing design data,extracted_from_report,medium,calibration_only,yes,"Alternative: equivalence, own_data",遗留 orthopaedic device,no,yes,limited,yes,no,no,partial,legacy,遗留项目 with pre-existing design data,"equivalence, own_data",Legacy status uncertain; requires gap analysis,yes,possible,Clearly state legacy limitations and data gaps
I,P0-1,own_clinical_data,strategy_router,strategy_route_decision,decision_table,HEURISTIC_ONLY,PROJECT_002,Project 002,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/CER/*,Strategy,Route: own_clinical_data | Rationale: Novel imaging technology requires own clinical evidence,extracted_from_report,medium,calibration_only,yes,Alternative: literature_primary,FFR imaging system,no,no,yes,no,yes,yes,no,own_clinical_data,Novel imaging technology requires own clinical evidence,literature_primary,Innovative device not covered by existing literature,yes,yes,Present clinical investigation as primary evidence
I,P0-1,own_clinical_data,strategy_router,strategy_route_decision,decision_table,HEURISTIC_ONLY,PROJECT_003,Project 003,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_*/CER/*,Strategy,Route: own_clinical_data | Rationale: Own clinical study provides strongest evidence,extracted_from_report,medium,calibration_only,yes,Alternative: equivalence,Cardiovascular device,no,no,yes,yes,yes,no,no,own_clinical_data,Own clinical study provides strongest evidence,equivalence,Own data preferred over equivalence for primary claims,yes,yes,Own data as primary; equivalence as supplementary
I,P0-1,own_clinical_data,strategy_router,strategy_route_decision,decision_table,HEURISTIC_ONLY,PROJECT_012,Project 012,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,Strategy,Route: own_clinical_data | Rationale: Clinical study demonstrates efficacy and safety,extracted_from_report,medium,calibration_only,yes,Alternative: literature_primary,Urology stone treatment,no,no,yes,no,yes,no,no,own_clinical_data,Clinical study demonstrates efficacy and safety,literature_primary,Own data stronger than literature for novel design features,yes,yes,Present own clinical outcomes as primary evidence
I,P0-1,own_clinical_data,strategy_router,strategy_route_decision,decision_table,HEURISTIC_ONLY,PROJECT_019,Project 019,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,Strategy,Route: own_clinical_data | Rationale: Own data with PMCF for long-term outcomes,extracted_from_report,medium,calibration_only,yes,Alternative: literature_primary,Urology tumor treatment,no,no,yes,no,yes,no,partial,own_clinical_data,Own data with PMCF for long-term outcomes,literature_primary,Long-term recurrence data requires own follow-up,yes,yes,Acknowledge PMCF need for recurrence data
