target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,pmid_or_reference,boundary_issue,population_match,endpoint_match,device_match,indication_match,followup_adequacy,sample_size_adequacy,fulltext_basis,appraisal_decision,limitation_required,human_gate_required
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_032,Project 032,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_30543210: population_mismatch,extracted_from_report,medium,calibration_only,yes,Decision: limited_use,PMID_30543210,population_mismatch,partial,yes,partial,yes,yes,yes,obtained,limited_use,yes,yes
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_033,Project 033,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_30234567: device_mismatch,extracted_from_report,medium,calibration_only,yes,Decision: limited_use,PMID_30234567,device_mismatch,yes,yes,partial,yes,yes,yes,obtained,limited_use,yes,yes
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_006,Project 006,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_006_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_28012345: endpoint_mismatch,extracted_from_report,medium,calibration_only,yes,Decision: benchmark_only,PMID_28012345,endpoint_mismatch,yes,partial,yes,yes,yes,yes,obtained,benchmark_only,yes,no
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_032,Project 032,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_26054321: abstract_only,extracted_from_report,medium,calibration_only,yes,Decision: excluded,PMID_26054321,abstract_only,unknown,unknown,unknown,unknown,no,no,abstract_only,excluded,no,no
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_004,Project 004,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_25543210: population_mismatch,extracted_from_report,medium,calibration_only,yes,Decision: excluded,PMID_25543210,population_mismatch,no,partial,no,no,yes,yes,obtained,excluded,no,no
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_016,Project 016,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_23567890: small_sample,extracted_from_report,medium,calibration_only,yes,Decision: limited_use,PMID_23567890,small_sample,yes,yes,yes,yes,yes,no,obtained,limited_use,yes,no
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_019,Project 019,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_27654321: insufficient_followup,extracted_from_report,medium,calibration_only,yes,Decision: limited_use,PMID_27654321,insufficient_followup,yes,yes,yes,yes,no,yes,obtained,limited_use,yes,yes
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_002,Project 002,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_25012345: device_mismatch,extracted_from_report,medium,calibration_only,yes,Decision: excluded,PMID_25012345,device_mismatch,no,partial,no,partial,yes,yes,obtained,excluded,no,no
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_012,Project 012,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_24098765: endpoint_mismatch,extracted_from_report,medium,calibration_only,yes,Decision: excluded,PMID_24098765,endpoint_mismatch,no,no,yes,yes,yes,N/A,obtained,excluded,no,no
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,DERIVED_VALIDATION,PROJECT_034,Project 034,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_28456789: population_mismatch,extracted_from_report,medium,holdout_only,no,Decision: limited_use,PMID_28456789,population_mismatch,partial,yes,partial,yes,yes,yes,obtained,limited_use,yes,yes
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,DERIVED_VALIDATION,PROJECT_037,Project 037,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_29876543: insufficient_followup,extracted_from_report,medium,holdout_only,no,Decision: limited_use,PMID_29876543,insufficient_followup,yes,yes,yes,yes,no,yes,obtained,limited_use,yes,yes
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_022,Project 022,special_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_022_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_31098765: device_mismatch,extracted_from_report,medium,calibration_only,yes,Decision: background_only,PMID_31098765,device_mismatch,yes,partial,partial,yes,yes,yes,obtained,background_only,yes,yes
J,P0-3,cross_route,literature_intelligence,literature_role_classifier,semantic_test,HEURISTIC_ONLY,PROJECT_025,Project 025,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_025_*/SOTA_LITERATURE/*,Literature Appraisal,PMID_31234567: small_sample,extracted_from_report,medium,calibration_only,yes,Decision: limited_use,PMID_31234567,small_sample,yes,yes,partial,yes,yes,no,obtained,limited_use,yes,yes
