target_batch,target_upgrade,target_stage,target_dc,score_area,dataset_role,absorption_type,closure_level_supported,project_id,project_name,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,issue_type,prose_excerpt,expected_detector,linked_ledger_or_fact,expected_outcome,correction_or_accepted_wording_if_known
H,U6,S12,writer_QA,writer_prose_QA,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,CER Body,The device demonstrates superior efficacy compared to standard care,extracted_from_report,medium,calibration_only,yes,Outcome: FAIL,conclusion_overstatement,The device demonstrates superior efficacy compared to standard care,conclusion_overstatement,Benefit strength: moderate,FAIL,The device shows moderate improvement in glucose control compared to SMBG
H,U6,S12,writer_QA,writer_prose_QA,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_019,Project 019,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,CER Body,Complete response achieved in 100% of patients,extracted_from_report,medium,calibration_only,yes,Outcome: FAIL,unsupported_positive_claim,Complete response achieved in 100% of patients,unsupported_positive_claim,Evidence shows 91.2%,FAIL,Complete response achieved in 91.2% of patients
H,U6,S12,writer_QA,writer_prose_QA,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,CER Body,Hemostasis success 94.4% (34/36) in all patients,extracted_from_report,medium,calibration_only,yes,Outcome: FAIL,denominator_misuse,Hemostasis success 94.4% (34/36) in all patients,denominator_misuse,"Study N=36, subgroup N=7",FAIL,Hemostasis success 94.4% (34/36) in the overall study population
H,U6,S12,writer_QA,writer_prose_QA,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,CER Body,CGM outperforms SMBG with TIR 68.4%,extracted_from_report,medium,calibration_only,yes,Outcome: FLAG,missing_benchmark_limitation,CGM outperforms SMBG with TIR 68.4%,missing_benchmark_limitation,SMBG comparator TIR 52% [48-56],FLAG,"CGM showed higher TIR (68.4%) compared to SMBG (52%, 95% CI 48-56%)"
H,U6,S12,writer_QA,writer_prose_QA,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,CER Body,PMCF will resolve all remaining uncertainties,extracted_from_report,medium,calibration_only,yes,Outcome: FLAG,pmcf_overclaim,PMCF will resolve all remaining uncertainties,pmcf_overclaim,Unresolved uncertainty: long-term accuracy,FLAG,PMCF Study 3yr will assess long-term sensor accuracy
H,U6,S12,writer_QA,writer_prose_QA,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,CER Body,A total of 15 articles were included in the SOTA,extracted_from_report,medium,calibration_only,yes,Outcome: FAIL,sota_prose_consistency,A total of 15 articles were included in the SOTA,sota_prose_consistency,SOTA accounting: 13 included,FAIL,A total of 13 articles were included in the SOTA
H,U6,S12,writer_QA,writer_prose_QA,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_024,Project 024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*/CER/*,CER Body,Procedure time was approximately 45 minutes,extracted_from_report,medium,calibration_only,yes,Outcome: FLAG,no_source_numeric,Procedure time was approximately 45 minutes,no_source_numeric,No PMID linked to this value,FLAG,Procedure time was 45.2 ± 18.3 minutes (PMID 12345)
H,U6,S12,writer_QA,writer_prose_QA,stress,semantic_test,HEURISTIC_ONLY,PROJECT_004,Project 004,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/CER/*,CER Body,Device abandonment was reported as an adverse event in 2 patients,extracted_from_report,medium,calibration_only,yes,Outcome: FAIL,endpoint_taxonomy_contradiction,Device abandonment was reported as an adverse event in 2 patients,endpoint_taxonomy_contradiction,Endpoint class: treatment_failure,FAIL,"Device abandonment occurred in 2 patients (5.6%), classified as treatment failure"
H,U6,S12,writer_QA,writer_prose_QA,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,CER Body,"The stone-free rate was 87.5% (70/80, 95% CI 80.7–93.2%)",accepted_revision_derived,medium,calibration_only,yes,Outcome: PASS,clean_prose,"The stone-free rate was 87.5% (70/80, 95% CI 80.7–93.2%)",all,Verified against ledger,PASS,
H,U6,S12,writer_QA,writer_prose_QA,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,CER Body,"Hemostasis was achieved in 34 of 36 patients (94.4%), with a mean time to hemostasis of 2.1 ± 1.3 minutes",accepted_revision_derived,medium,calibration_only,yes,Outcome: PASS,clean_prose,"Hemostasis was achieved in 34 of 36 patients (94.4%), with a mean time to hemostasis of 2.1 ± 1.3 minutes",all,Verified against ledger,PASS,
H,U6,S12,writer_QA,writer_prose_QA,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_019,Project 019,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,CER Body,"Complete response was observed in 52 of 57 patients (91.2%, 95% CI 80.7–96.9%)",accepted_revision_derived,medium,calibration_only,yes,Outcome: PASS,clean_prose,"Complete response was observed in 52 of 57 patients (91.2%, 95% CI 80.7–96.9%)",all,Verified against ledger,PASS,
H,U6,S12,writer_QA,writer_prose_QA,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_024,Project 024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*/CER/*,CER Body,Technical success was achieved in 115 of 120 patients (95.8%),accepted_revision_derived,medium,calibration_only,yes,Outcome: PASS,clean_prose,Technical success was achieved in 115 of 120 patients (95.8%),all,Verified against ledger,PASS,
H,U6,S12,writer_QA,writer_prose_QA,calibration,semantic_test,HEURISTIC_ONLY,PROJECT_030,Project 030,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*/CER/*,CER Body,"Hemodynamic improvement was observed in 42 of 51 patients (82.4%, 95% CI 68.5–91.4%)",accepted_revision_derived,medium,calibration_only,yes,Outcome: PASS,clean_prose,"Hemodynamic improvement was observed in 42 of 51 patients (82.4%, 95% CI 68.5–91.4%)",all,Verified against ledger,PASS,
