target_batch,target_upgrade,target_stage,target_dc,score_area,dataset_role,absorption_type,closure_level_supported,project_id,project_name,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,benefit_claim,linked_evidence_id,linked_pmid,evidence_strength,conclusion_allowed_strength,benefit_has_evidence,missing_evidence_flag
G,U5,S10,BR_GSPR,benefit_evidence_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,Benefit-Risk,High stone-free rate (87.5%),extracted_from_report,medium,calibration_only,yes,,High stone-free rate (87.5%),EV_001,PMID_V3G3_PROJECT_012,strong,strong,yes,no
G,U5,S10,BR_GSPR,benefit_evidence_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,Benefit-Risk,Reduced procedure time,extracted_from_report,medium,calibration_only,yes,,Reduced procedure time,EV_002,PMID_V3G3_PROJECT_012,moderate,moderate,yes,no
G,U5,S10,BR_GSPR,benefit_evidence_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,Benefit-Risk,Rapid hemostasis (2.1 min),extracted_from_report,medium,calibration_only,yes,,Rapid hemostasis (2.1 min),EV_003,PMID_V3G3_PROJECT_016,moderate,moderate,yes,no
G,U5,S10,BR_GSPR,benefit_evidence_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Benefit-Risk,Improved glucose control (TIR 68.4%),extracted_from_report,medium,calibration_only,yes,,Improved glucose control (TIR 68.4%),EV_004,PMID_V3G3_PROJECT_032,strong,strong,yes,no
G,U5,S10,BR_GSPR,benefit_evidence_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Benefit-Risk,Reduced HbA1c (-0.52%),extracted_from_report,medium,calibration_only,yes,,Reduced HbA1c (-0.52%),EV_005,PMID_V3G3_PROJECT_032,moderate,moderate,yes,no
G,U5,S10,BR_GSPR,benefit_evidence_crosswalk,stress,crosswalk,HEURISTIC_ONLY,PROJECT_033,Project 033,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*/CER/*,Benefit-Risk,Improved hypoglycemia awareness,extracted_from_report,medium,calibration_only,yes,Missing evidence,Improved hypoglycemia awareness,,,,weak,no,yes
G,U5,S10,BR_GSPR,benefit_evidence_crosswalk,stress,crosswalk,HEURISTIC_ONLY,PROJECT_004,Project 004,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/CER/*,Benefit-Risk,Improved survival to admission,extracted_from_report,medium,calibration_only,yes,,Improved survival to admission,EV_006,PMID_V3G3_PROJECT_004,moderate,moderate,yes,no
G,U5,S10,BR_GSPR,benefit_evidence_crosswalk,stress,crosswalk,HEURISTIC_ONLY,PROJECT_007,Project 007,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_007_*/CER/*,Benefit-Risk,High diagnostic accuracy,extracted_from_report,medium,calibration_only,yes,,High diagnostic accuracy,EV_007,PMID_V3G3_PROJECT_007,weak,weak,yes,no
G,U5,S10,BR_GSPR,benefit_evidence_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_024,Project 024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*/CER/*,Benefit-Risk,Minimally invasive alternative to surgery,extracted_from_report,medium,calibration_only,yes,,Minimally invasive alternative to surgery,EV_008,PMID_V3G3_PROJECT_024,moderate,moderate,yes,no
G,U5,S10,BR_GSPR,benefit_evidence_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_030,Project 030,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*/CER/*,Benefit-Risk,Hemodynamic improvement (82.4%),extracted_from_report,medium,calibration_only,yes,,Hemodynamic improvement (82.4%),EV_009,PMID_V3G3_PROJECT_030,moderate,moderate,yes,no
G,U5,S10,BR_GSPR,benefit_evidence_crosswalk,holdout,crosswalk,DERIVED_VALIDATION,PROJECT_037,Project 037,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*/CER/*,Benefit-Risk,Durable patency (88.5%),extracted_from_report,medium,holdout_only,no,,Durable patency (88.5%),EV_010,PMID_V3G3_PROJECT_037,strong,strong,yes,no
G,U5,S10,BR_GSPR,benefit_evidence_crosswalk,holdout,crosswalk,DERIVED_VALIDATION,PROJECT_041,Project 041,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_041_*/CER/*,Benefit-Risk,Reduced operative time,extracted_from_report,medium,holdout_only,no,,Reduced operative time,EV_011,PMID_V3G3_PROJECT_041,moderate,moderate,yes,no
